,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,2.67357793691286,1.6780380742749503,3.8092624457332187,0.9014410972375022,1.3426679543939746,0.3314286121039741,0.2899236507083093,-182.98746027871482
0,2.4502500554761855,1.209371213266985,4.344536152403699,2.1932801437075953,2.0408742638735977,0.1526445771013482,0.2798043560497384,-18.330715627408516
0,3.6054257566585974,1.5861238706057392,3.563723141098886,1.0577308974202277,1.50581885750349,0.2464504747647953,0.20518413888663756,-250.88273651037412
0,0.9911543531287376,0.6028069478461824,4.0493396090342415,0.6804094218147627,1.158957495087177,0.254207648426299,0.26460323974456745,198.42556085101637
0,2.4755434561050667,2.1458932822848817,2.5156345350655474,0.6617027042808541,1.3624342171962933,0.22870743143288402,0.2516027316141291,-299.9807921096107
0,1.5433169365961832,0.9367632777347659,3.698818017262724,0.8069030898320984,1.071888405939827,0.23663082752613684,0.2922155857908929,46.61479069751167
0,1.7577149603931443,1.5436034505282077,4.691046060550065,0.9578841130752225,1.3185851403954758,0.2266913542437869,0.21873483671006405,-97.29475506722724
0,1.7111837885511085,1.3796098549983378,2.0440525956918125,0.8605154095719878,2.179900232306925,0.1972798451726766,0.1569682995818154,217.15940461118063
0,1.8502508876147006,1.4336905404732045,2.8365394863493325,0.7789262247931976,1.8814545209710625,0.2191761911375682,0.19263271471338167,76.7366925792889
0,0.6952084078293278,1.180084494726239,1.9655265868170038,0.5001859370551918,1.7047579895549494,0.201131075708326,0.1164158197268167,224.8515391015417
0,1.3779181359893125,1.023703805070186,4.31379484430201,0.8535660918683154,1.2510186592629085,0.21124294966498275,0.18768207266819775,65.17728144326765
0,0.835742670448085,1.2163557342478608,2.040006593315117,0.6375590446611157,1.7216372937801574,0.23041723123230928,0.36063536351840975,342.3821140666597
0,1.302095062683953,1.253431091528966,3.6776400776892224,0.8981146868725247,1.1227930298469073,0.18889248215917448,0.2780791412304459,131.5168938030319
0,2.0770613823447417,1.3493287449238558,3.0397928868648134,0.8607336406093813,1.377809562282256,0.3201259621090334,0.45556972628733083,20.96928223120957
0,1.4792577369882947,1.570243443917913,4.8434773670092435,1.7844288981942031,1.9231438124746818,0.14061228208417392,0.21160660605447268,-47.42324731690933
0,2.289677593179321,2.0471774198014767,4.951725978085674,1.0395461816717821,1.8951377960331923,0.27366104297549104,0.268630801354635,-277.87059720363885
0,3.161626296566897,1.7059510413475931,2.1250897334492738,0.6060137440775639,0.7819423385032969,0.29062789961816027,0.3297969246062118,-361.32329915622705
0,0.8146718123141985,0.5959922801034623,3.257734755700906,1.3518884947988652,3.6615103190582676,0.1730196752479906,0.1421261828860858,542.7303455865792
0,2.681028753034157,1.6315680997896131,3.9286149089246556,0.8945150419758781,1.600812937424687,0.23527553951259422,0.29738537759489575,-245.72550637287605
0,1.9928219986242246,1.2117078929440093,1.7851240368971273,0.8246692265893869,1.0999529202683576,0.23787305705734813,0.28713647079859184,168.45063401814338
