,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,2.5897115130095107,1.6995697094775049,6.875927761741345,3.6236959011494725,1.5456998481373638,0.29894866760142225,0.25823924740054904,-202.21194517913858
0,2.311306176519806,1.1677781828842306,6.325695533085206,3.9399471872142353,3.9405050721368156,0.11950903590358108,0.1101478855984041,-40.32876718222287
0,3.41622857922859,1.6332029338820757,6.671459043915864,3.504849475492904,1.7241696611469393,0.21659168303454596,0.18053251464222353,-266.8094904761715
0,0.8609353442907242,0.6018369455302379,6.966555471088464,3.8133140483505135,1.185837854743244,0.21000117611249514,0.2521695334535952,184.92208773468465
0,2.2220395411103024,2.002905824817561,7.078572414368686,2.382535092114928,1.2032541579812737,0.1923169529791588,0.2717870350249545,-306.1274439470404
0,1.4355565976103701,1.0053636707518494,6.00030966517934,3.7368985386345055,1.1187662305615884,0.21784523992196464,0.2871510050607313,30.010170298718457
0,1.6244567163896686,1.5394048025393359,6.014535681342971,4.221520155153727,1.235893826199951,0.2069336351400069,0.2188182508182887,-100.7868484397456
0,1.4445908257437945,1.3661753945950135,4.269205502035701,1.6539561419720337,1.5664967508681884,0.1268184349810773,0.23540490526618735,230.48199818244103
0,1.48817929840539,1.4056912275638154,6.5108784025142645,2.601521612905823,1.6440214497446028,0.16674097765226564,0.21272638247629894,67.10427821187162
0,0.398637005161194,1.1600050565188484,9.813398805770722,1.6144234131252644,1.4232537701890027,0.12680734503731722,0.15321105873203344,234.2091211346976
0,1.2946892321194172,1.0265341306608757,5.94168788753158,4.127032803095055,1.1946051293095863,0.1843368107833872,0.19002164253245601,59.23946372901005
0,0.5746547121361306,1.2208913393116652,7.453728099605837,1.9364243494049973,1.8356318786341537,0.15736043600202798,0.3297288387794922,288.36025580525023
0,1.1966816639292204,1.2722758317215292,4.89058243698391,3.499364622805735,1.1287801894579115,0.16824828692294785,0.277741142449947,127.72417684455763
0,1.903464373659784,1.3720006080465477,6.156969633390205,2.6558794714168674,1.3501300061753114,0.295757894653362,0.4509397730248995,-3.925249527515298
0,1.5367826303216638,1.5627450510186656,4.479974488465085,5.016200136566097,1.7425209148602692,0.13723007300396378,0.23163812061204858,-48.624317954722976
0,2.305095826534475,1.9941297696827438,5.278891181738962,4.6582053265322685,1.2835235112448693,0.25225291306678177,0.3207175354814904,-274.0223478913026
0,3.064562084321685,1.7365338477305516,4.030252192863528,0.11538730773596773,0.6528853947254509,0.2890878234950463,0.34493338868093737,-364.0017095887859
0,0.8349586743155187,0.5870771231652482,8.232126201607807,2.1002388222743393,1.4386886070938742,0.3174800354981636,0.3417856445296974,450.74425142167553
0,2.5477075298715466,1.6265469376526953,5.724980636915662,3.621037398596251,1.213544424282773,0.21647050976969612,0.3426604556212228,-238.11562724386852
0,1.8408257749278136,1.2186186116312232,3.8733495663071644,1.3771059451110603,1.0406416570494184,0.2259712465185259,0.29454977203783905,157.03520926886438
