,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.6985746313033998,0.5878254063920627,0.6545418760145059,0.22903387847957213,0.29689773337406206,-432.1128173419703
0,1.4877630429517241,0.5143837816534388,0.5245244805719228,0.2284646258561432,0.2952777231539489,-1150.9793058398916
0,0.40437487999346783,0.5,0.5562333781953821,0.16243856729287376,0.16317132288549208,471.71641778580073
0,2.568803208810942,0.5,0.5059131378765622,0.2834870935232561,0.29912274623133606,-3408.820977356473
0,0.6605316402153071,0.5,0.5619066797804636,0.1643443395451767,0.1665853777650047,160.2391968786058
0,2.2187673798910628,0.5148680022004342,0.5005537611052335,0.23958296427025472,0.2696654367640249,-1405.3416117802635
0,1.8839937375653706,0.5,0.5074349613864388,0.27210636948453537,0.2957052528039197,-2184.8462652113444
0,1.8754685276576708,0.5,0.6571827129445879,0.24403357656180458,0.26709442357448515,-1543.7840797237545
0,1.9297373381658318,0.5234204903064664,0.5598278919768901,0.2754768169602172,0.28902150625444156,-962.9032291921652
0,1.517155378587762,0.5,0.5353303025205431,0.22771639974852997,0.25793632351568757,-1314.7501286259799
0,0.277755047011139,0.5,0.500800768172054,0.16112520938186753,0.16594767756773893,74.5076314999121
0,1.1900590450894353,0.5044692608818334,0.7348778450152852,0.20739856147854624,0.24416921091709598,363.4359600783911
0,0.8075812392978244,0.5268434699416547,0.5941653529340016,0.16620652234603206,0.2036169590564333,578.5129170277883
0,0.3856472414132212,0.5,0.5,0.1575667021412857,0.1722100626296808,-146.8560078937589
0,1.4644623212520578,0.5224416573628309,0.5021470842830142,0.3219911388470531,0.34746665010128813,-583.6294954807717
0,0.4365028640906484,0.5,0.5591050156244761,0.17491609345612014,0.19137594572046074,550.8965067460865
0,0.8422837725090446,0.5,0.5056994403226782,0.1652677581398584,0.17069647751303352,-712.0466999274622
0,0.9094428872859619,0.5,0.6810682570668642,0.1530904673240448,0.16265304095660071,764.0831205243131
0,2.460179426267856,0.6467301016038443,0.6798042867627768,0.39603987288812637,0.3918699470422248,-2075.964060528712
0,0.6335289364545462,0.5,0.5438785612472545,0.17502559189061795,0.18344302958343173,-8.072137153968221
0,0.2421978402831522,0.5,0.5,0.16196790305185726,0.1647665049709942,-326.1881316203471
0,0.7477362591635293,0.5402633942828207,0.6677691867702895,0.1764305196382519,0.17460395244485105,1225.5405370089159
0,0.14617317802702715,0.5,0.5,0.152320783874425,0.1675864256834964,-417.90316414938104
0,0.5092488190577623,0.5,0.5945271780237424,0.17579623377666304,0.18279353154326172,337.0340704609875
0,0.7627878511679042,0.5,0.7845635741143141,0.1506201017556365,0.1696069546139229,557.5988503174686
0,0.9395882732521238,0.5,0.541580894835381,0.18565544051006283,0.17020583855045252,-279.3565205626443
0,1.4921432941275603,0.5,0.6179148490811045,0.1731586409102045,0.22943328793492956,-436.5215028739635
0,0.16459372658201873,0.5,0.5,0.17840397671885677,0.2177641292798052,-321.32015212442707
0,0.6445260186914522,0.5,0.5613425403087472,0.16291459073722997,0.20674264823932076,241.88666256971518
0,0.21526469952990687,0.5,0.565679840565439,0.17159488095686581,0.17044622866916492,495.8882250204403
0,0.2735711586449051,0.5,0.5,0.16773541594476526,0.16616176289797718,-14.824881151904187
0,0.40202400720028697,0.5,0.5,0.1698731171816641,0.1750125141682528,42.47669722155772
0,0.21610596098821966,0.5,0.5675719613855689,0.1732622423176941,0.16969055646412934,496.2532198653191
0,0.5312220298995691,0.5,0.7869866495267386,0.17741994868172933,0.17984089715942186,799.9716205558577
