,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.4951895024651087,6.597371993706835,5.761889201515779,1.7453127514562774,0.14814469103734695,0.22255703909382546,-985.8942089690346
0,1.1095799245626274,10.0,9.771901915071437,4.122316274211528,0.10154979569754202,0.16075572370573843,-2157.110345580358
0,0.20900878605589135,8.004685986256533,6.899006005756063,1.4745094450692435,0.10041567134707441,0.11458038822606975,-309.48611952936176
0,2.353934814653097,9.48247712910082,8.557846095875991,0.8441171583448908,0.27230053551514144,0.28619272582600447,-3762.56474357806
0,0.3820580466333481,8.687883554743452,7.028617432581092,1.5676350152411236,0.10069209223383424,0.11349109962913101,-180.223370529718
0,1.9881285837775526,9.402382496558548,10.0,1.13662091820586,0.21601103084776851,0.2472485867616973,-1718.536032146481
0,1.5476926503055277,10.0,9.916435097838413,1.4672969962633626,0.21150430047096935,0.24938972806509385,-2864.3888911620224
0,1.7392855118222053,9.507560217928075,3.444324049026184,0.8650155643542607,0.23330111875760845,0.256130918299464,-1954.3903696020163
0,1.7738177286705292,9.780054263631792,8.734405112921706,1.7829176483721403,0.2224822666656167,0.23602446405612182,-1327.1201101528545
0,1.1924884915450358,10.0,9.127235113065135,1.8776957425423517,0.15778095933717085,0.1919733507461867,-2001.8482515359108
0,0.1174021186398102,7.740945380328197,7.537201261428486,1.3011736848949607,0.10079230114126025,0.10596043800127797,-451.1815701963916
0,1.0333482472737996,9.048454580944245,3.578231254295198,1.2585640866905758,0.17499905952162198,0.20718117851168477,-162.14604907585075
0,0.5887645597288539,8.237474878688268,6.7223583578669235,1.8131824768023534,0.10090985722065132,0.13685012624903664,-301.24792272434377
0,0.32310224669715615,8.829567502098591,4.530192400564425,0.6190136562411963,0.15646400835285096,0.16800897043103363,-291.09862058852406
0,1.0952086625659492,8.709657626914519,8.904689006859327,3.8467227939482274,0.1615274154370417,0.18270925512719588,-1398.6717923406989
0,0.3261777236429226,7.9812373428272805,5.561172932139073,0.9851072673737535,0.1521541182330184,0.16168205090333032,209.6766741312136
0,0.47905308070675945,10.0,8.869057089193237,1.5209848374955106,0.10022982195881935,0.12071733335000134,-1443.4331390001685
0,0.716899435172022,7.388576848035521,4.031779146173252,1.1303402118960424,0.10021916298037686,0.14001938024038058,548.3180053429129
0,2.3879932632610066,6.431188243327798,6.934830184821231,2.124828944348719,0.3067076588013813,0.3220658363398742,-2621.354948820943
0,0.38489567488260584,10.0,8.770564308643795,2.300097034123673,0.10068606803900315,0.1145549502017762,-1161.5055849172816
0,0.10998803449515106,9.515755031262529,7.659996328965426,1.1822311481700636,0.10928894690120827,0.10168183385500407,-659.1096041322254
0,0.46199107957627145,6.8586668796085455,4.833222795688939,1.576892871524045,0.10021637077718071,0.11015189273374987,772.2655211464189
0,0.14304497916732647,9.394552672821844,4.383372187643569,0.5932830005361294,0.15600960258662033,0.1617920307795621,-801.9756694479524
0,0.26116056160442375,8.899634561040882,6.236433260341822,1.6942402148927904,0.10060680108495901,0.11944075228774848,-18.161428918776622
0,0.6843146256113962,8.081358323143114,1.9825105221415866,0.9823833059581282,0.10098834972571757,0.16189605302714255,487.09405788998924
0,0.5607563050563013,10.0,8.251834552722002,1.7823784694804563,0.11725762392977052,0.10770410250440149,-697.0190563531
0,1.3022867715782918,10.0,5.002233393921942,1.1353990527786073,0.1560584788758403,0.1913213221431625,-704.3187192074009
0,0.040650676494856354,10.0,10.0,2.240631365996089,0.10042877625428676,0.12873126314211952,-1022.1897865553453
0,0.39421567254161466,8.746520104211454,6.309746532713317,1.4025754182809944,0.10058186487460774,0.14080967515720605,-20.584833131125684
0,0.10848788496393924,7.492344338430884,5.9220315876051774,1.4381734573417684,0.1006911735087534,0.1005169278511478,258.7045546288532
0,0.0757957074871225,8.03389432201881,7.699738349477205,1.2046102614607874,0.10771168903217748,0.10250239408615497,-137.11601720410388
0,0.25787048147125213,8.069665176232617,6.569133226757499,0.9496442668118372,0.13403204778164818,0.13243886878455902,-48.042212472924255
0,0.11060762431212416,7.375190383318587,5.845044173700677,1.4045633029557711,0.10030867353445999,0.10191976794091645,259.2386069969533
0,0.35186660276476034,9.102890919958401,3.3813975159496423,1.6917815085936994,0.10041480439998002,0.11214155371115753,547.2267607506765
