,Participant,Drift Rate,Boundary Separation,Self-excitation,Non-decision Time,SAT,BIC
0,1,2.5734495797503762,3.1402066640498605,7.750366558982406,0.23120197424234573,A,-276.34158548390116
0,1,1.6431672996875737,1.1882088618201143,3.2235926434589386,0.2996343613239275,B,70.14084338154451
0,2,2.315748349822445,4.8867751567383815,6.656796447201878,0.10132326705356615,A,-217.5928797316493
0,2,1.2321525861654337,1.2193220538275695,3.1106036141504267,0.34342805545522104,B,167.50548607661153
0,3,3.4313676107842626,2.925915586001274,7.554035075507363,0.1701210037937434,A,-380.6256218480179
0,3,1.5972311948359248,1.4313764849108765,3.3261605892917108,0.21369108745073417,B,111.44096346068146
0,4,0.8222758822091414,1.5660617018580343,7.408556415522808,0.18342376684354,A,-27.90922423720483
0,4,0.610865072351649,1.0511156980020449,3.6296887935537416,0.2753193463241638,B,211.73528440189168
0,5,2.190173552191173,1.1259314196477797,6.859962562231147,0.19885021333096875,A,-243.1393036649613
0,5,2.153795167483772,1.2930695179445686,2.3415836156311554,0.25755392785386855,B,-64.58467334239448
0,6,1.3687229645919075,2.039125633872687,6.966926618972612,0.158921507705227,A,-86.68901743047567
0,6,0.944692249004004,0.9436248243597918,3.3947234358161116,0.31254060926735283,B,110.00540665486689
0,7,1.6020824632203952,1.209799693772736,6.076380002272421,0.20991700482514325,A,-116.96417821428865
0,7,1.5491778413471715,1.2337672108774833,4.276479953886079,0.2211302367246848,B,16.551581481143483
0,8,1.6604622095399661,0.9274419798690405,2.6827625715788654,0.19270134669772887,A,-10.22736761711322
0,8,1.3734855720478396,2.1715806233895747,2.0193674477443846,0.15527991943320013,B,227.2361455595991
0,9,1.5796933363145491,1.2940175171306358,5.924916914823981,0.18890707271787543,A,-118.75138529310603
0,9,1.4195383392655225,1.728443665831605,2.667547698210557,0.20402939559685385,B,185.1671979030956
0,10,0.6333921016815939,0.5189854199058783,4.977487704376019,0.2024258144042574,A,-81.47089420610084
0,10,1.177392332702548,1.572019925754704,1.7715294809819069,0.1319935525136544,B,297.87816527642866
0,11,1.2870859564438464,1.262888369390181,6.114423377354276,0.18086291569203478,A,-50.035681997440435
0,11,1.0348455298723698,1.156689729218423,4.1320444256067095,0.19812990901633204,B,109.3969512993527
0,12,0.5181979832454081,3.071839346777394,7.776272397422852,0.10045425197421798,A,-15.847959671527615
0,12,1.213687053141816,1.613390897092568,1.8616352811164647,0.37352804604413575,B,302.5862484989108
0,13,1.1757746203601995,1.220341616284358,5.091157503578437,0.16084487727567487,A,6.673224722360938
0,13,1.252182649197894,1.0866145691557798,3.3212684755090116,0.2774247340816078,B,121.13549450399428
0,14,1.8804224629245772,1.7370261818021406,6.692627248792357,0.2730835925355019,A,-160.57058669863534
0,14,1.3617014017250335,1.053108015231281,2.0871867957877988,0.4945846072503363,B,153.56404300324456
0,15,1.594275304841471,1.4702358072440003,4.084592460067155,0.1560023256908009,A,-32.93241307525828
0,15,1.5432611886877234,2.3018554345544375,5.264260048982905,0.1925817581633879,B,-16.85886483616149
0,16,2.3362699110742797,0.9818736003812139,4.255956147583564,0.2740670641971663,A,-186.54962099839452
0,16,2.0384212587430106,1.84910293189541,5.108848838637516,0.27561454242365135,B,-91.98544804899632
0,17,3.0615752951645274,0.7417343979766149,5.270614725131303,0.2831571083873442,A,-361.3212701931839
0,17,1.7531057984920173,0.6261707510110637,-0.36248065756560166,0.3503320586641072,B,-2.6609161977993416
0,18,0.6831960365609324,5.368958739179565,7.002182601054288,0.10002048691462107,A,-0.6285186131840526
0,18,0.586247728836739,1.3750282292102511,2.0604135015831333,0.3574928206259649,B,423.57306315839065
0,19,2.710485776694327,0.8581827991178019,3.831815958167342,0.241858873647058,A,-265.1757823690255
0,19,1.6499049135861839,1.6276832436,4.03580344044947,0.3003152834973343,B,19.830312731598834
0,20,1.8070528552380787,1.2509609545122267,4.57494594820713,0.21100212973864357,A,-90.33182474076165
0,20,1.2487892822842346,0.7363052862627364,-1.1850595720321515,0.34102074723411724,B,242.1006385032117
