,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,0.754356567470351,0.9576519882224472,1.2433356045158164,0.5959378024450843,1.044251313245245,0.3181500560712601,0.3585823633680699,420.6747018437495
0,2.6464798933614615,1.5690475637339694,1.8955445836793927,0.741053021267633,1.4617273265968982,0.415468465483129,0.4505471981026493,-81.79099113949839
0,1.1867308750414451,1.5501238301038598,4.05836658120539,1.1694369392768702,1.4604415250560407,0.1792511077416893,0.2859600244744099,127.92394646611905
0,1.5485723386754768,3.0690277881560664,-0.01738300857893779,0.7764290518836274,7.38966658368215,0.41486730579295295,0.11590180190306165,222.93059356417004
0,1.7945747539238113,1.093105228255751,2.5591106910716475,0.8145402946533311,1.6799794660053982,0.32550304553472403,0.2734769329757977,226.79817292575413
0,1.4089972588828197,1.1153518027176588,1.8575288233880862,0.628465160607659,1.44872710886525,0.41852858711356267,0.39386180809564475,302.6902219074603
0,0.603239560040807,1.087124980487259,3.600353182205504,0.790090049837826,1.4386759356436447,0.16400762785069956,0.2830335660272729,344.21846184923754
0,1.8420175340220823,2.091710643350691,3.801205032623105,0.8475371480492209,1.6943479997372815,0.3927709208751917,0.4463334061947574,-129.0999631102169
0,1.942592951172789,1.8213003845553797,2.3145978736064277,0.997884363535678,4.317560079158564,0.423367041847221,0.11029441033084719,79.7029757747693
0,0.7429972071765201,0.499592608408396,2.2324883864114957,0.8670044288040506,2.3223691033701455,0.3476428957753583,0.1349300874884949,718.1045977304938
0,0.9508107614134653,0.48320847390164795,1.6481623656871018,0.7213403374043059,2.7509440073922526,0.4007516889423273,0.11427693999426236,686.1446606762806
0,0.8950515934525426,0.9349061154417289,1.1647852286503921,0.7468744056595056,1.2484935941383895,0.2124585326654318,0.39431802839036056,570.9825772222622
0,1.502331877776442,0.9731193509237182,1.6082394021754434,0.9427359477372388,2.5490856633186763,0.38188837681461185,0.21595989158983347,476.18833790627104
0,0.5240592616930267,0.7341974050595852,1.7925173444608393,0.9732497398784794,1.621781463488984,0.3586015717536971,0.338594498684421,790.4953853591496
0,0.7647587375919161,0.5355953032956287,1.9268089416050602,1.0287778582441236,2.057217041217742,0.15269230989978166,0.1446318953890428,724.9085446329441
0,1.4360797235479301,1.0383956249061208,1.2736755157312531,0.7734553504892108,1.6751729041355685,0.38203281266255407,0.36842699431271964,475.3917439253746
0,1.5409710823106133,1.0034164258639882,1.1685904355100032,0.9173604570628924,1.3816870527652192,0.3459293478678568,0.2933209762985714,496.2467690845126
0,1.1760035022552617,0.6812505090699322,1.9927575815953988,0.6752522958398446,1.3715210498283885,0.363048605179516,0.3241439885666595,454.0264658348201
0,1.0728262772167578,0.9433593681394551,2.556685375629045,0.9547935096574611,2.2826770638091762,0.31696735965751094,0.14504583216142142,499.8985601235348
0,0.5218240891314707,0.5202478306840889,1.3077697219119713,1.5227315821084644,2.298560424141187,0.10646669467651032,0.12210194849621087,995.8782272706995
0,2.2561126857232847,1.328730583111105,1.8488233033023158,0.6316865423086422,1.2349905816763949,0.3180143098036977,0.363726582509331,18.92025829712408
0,1.8725932142296513,1.2682717145214397,1.9460182734683493,0.9456405628451301,1.9468151459147638,0.32864832844931474,0.3153368328202971,268.09789052268155
0,1.043187209564036,0.8455943253580597,2.157113832420086,0.9872951819116991,2.944977875584639,0.3247349393761644,0.14564947356442232,643.3688951956282
0,1.119024163201325,0.7172119974529948,1.498113031938802,0.9863971222910526,3.0497872153830494,0.45618127030890204,0.23601788264490803,637.4135128994916
0,0.9239535760639084,1.3703545973023754,2.5949167445853316,1.9417719880075315,2.239145509084673,0.1759062522397251,0.30295364312530226,533.8378277272521
0,2.1424005977658607,1.2234919834516202,1.6664659797477464,0.7276701198768332,1.8704301503873269,0.46803039561126103,0.37825503902978647,192.52674952579085
0,0.8928130716697878,1.0947977387517305,2.2747819044398336,0.5018812162602142,2.248051934747365,0.3349866687583123,0.44024134339358134,210.95478648295315
0,1.7084229121282177,1.4962128000696875,2.5849597416494876,0.6189316318946521,1.3979689746434714,0.43749983842758045,0.45868123099246005,72.3800389780659
0,1.6655674651453183,2.1180193311062694,3.7169683272311933,0.7071249612604915,1.5713616776247,0.3121161689700576,0.4127807650972227,-184.4294662522499
0,0.7828165044874185,0.8120616338177734,1.8847533923595254,1.2001235043548113,5.132744300837253,0.4149902906252192,0.16180506632366753,763.3567068418881
