,Vspeed,Vacc,Boundary Separation,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.003401836491434,3.7509561163170515,0.5149988835496431,0.0,0.36362863704424014,0.35166570052297097,0.3892758852506538,-263.65611382334055,1,1
0,2.3769068917738596,2.2549920688232867,0.5684432359061037,0.6562721020205307,0.01449720397076156,0.3674709015938392,0.3766206017413387,-134.73133197822412,2,1
0,0.8935416005602214,1.7834287564603282,0.5448743667021266,0.28933713126512295,0.08333332386088493,0.3460086779202617,0.3960571373130346,-18.0988247333415,3,1
0,2.459468600415952,2.8552906428237845,0.50194043757197,0.0011864800893259808,0.10571555866946514,0.3436515267395783,0.3973149667965046,-165.8424053198733,4,1
0,3.2127909143770985,2.492727439145067,0.582902908329136,0.10417885714759452,0.2666666748087066,0.35325082602847935,0.3641562637915231,-168.4833992859026,5,1
0,3.44015127836785,2.8557380578539835,0.572620128920212,0.24866563354458338,0.0004980609787863521,0.3434944682312314,0.360608140729651,-219.37622650871796,6,1
0,2.958706752337272,3.023821850234665,0.6395404946523061,0.45569630461215377,0.0,0.3190257350440474,0.42163760386475846,-183.97484251160162,1,3
0,1.7927656304589998,1.8356856687306458,0.6630504937144495,0.25806451001646696,0.0,0.30250853156055835,0.3816015186540641,-8.814943037163289,2,3
0,1.6694016862071517,1.556951363354558,0.6483671685987576,0.21428571426268953,0.0,0.30859241586568764,0.4320600130287877,34.206993391199624,3,3
0,1.658746794638666,2.0178839757309466,1.5840955687769545,1.8985507251770342,0.6647058746682254,0.14365873238604443,0.1481335268533115,2.7928759267629175,4,3
0,2.8984492351543403,1.8436254851884541,0.8861592510757993,0.9444437290090805,0.009174302278319836,0.2713124981022198,0.3556645599996587,-46.76603701479741,5,3
0,2.669293126867435,2.2255865005922746,0.9196516793973311,1.0303030258420183,0.0,0.2927084932935782,0.3591422671216279,-66.62442582431322,6,3
0,3.9404599035466203,3.2521387523959646,0.5929125256360352,1.2044474104616814,0.0006040122875983212,0.314181280294094,0.3374342514031579,-300.57578147479614,1,4
0,2.413517589846879,3.0279630355195137,0.6038215650301755,1.0857142937523925,0.11111129723714595,0.3160436156454064,0.36804828633015985,-221.16379808615812,2,4
0,1.4781921885381133,1.9439720403743754,0.6218919480124475,0.9230768582987076,0.2380952494828534,0.30564802520152534,0.3527786123529939,-86.44260500683471,3,4
0,3.437029993214753,2.8819305892064526,0.6835561127815406,1.4347736553681032,0.0,0.32145123738284054,0.3473839137258601,-234.1765410884091,4,4
0,3.777369681219418,2.3314752870170095,0.5557464023530133,0.3541666639703324,0.0,0.3212822871888781,0.36935933859861897,-198.44058346256162,5,4
0,3.2612037436985575,2.1988427429887047,0.5491543308953895,0.6969696878055707,0.0,0.31267183471186255,0.3651950157486469,-191.99676353032953,6,4
0,4.552065074976357,3.0275740181509176,0.6007511605639788,0.649260536739671,0.0,0.3178399346383603,0.39827584646855674,-282.1325876589919,1,5
0,3.7166265479815053,2.2667502813804523,0.7793754164172975,1.7826087244469084,0.7500301533167107,0.32155814119108916,0.40501969703774515,-220.36249844456358,2,5
0,2.217090434813806,2.833677917907759,0.6124634918732931,0.9714287739225212,0.37737836638680666,0.3301745418475717,0.46838224415542384,-191.08821822455917,3,5
0,5.571797119147119,3.2685628941602425,0.8034051246057196,0.15786327765885957,0.26086865792455644,0.3339282946793938,0.41592655407039575,-267.5265157044954,4,5
0,4.321798601366113,2.4381142436705314,0.5808513555758154,1.470589366062889,0.0,0.36050446744172226,0.4881353569243968,-222.87808319257016,5,5
0,2.692111424776074,2.610129058955929,0.7975450615238208,2.3238311091021306,0.3466728774025635,0.302660167523225,0.4118432900131378,-210.25074788014368,6,5
0,2.076990461476727,3.05135633075053,0.6788551788377989,1.5789435560254943,0.26189744561483064,0.26184228896727113,0.3698391813790249,-207.15378984262884,1,6
0,1.2044790225415276,2.3487607952806835,0.6730440709977925,0.943396557082699,0.1781953115724414,0.22581324180468954,0.41137674015326176,-82.75953986128283,2,6
0,0.5173348624941472,1.6191434530920275,0.6344520281630217,0.6274505154353008,0.11827956127723435,0.21272687750733876,0.42134528478157235,22.41646891720967,3,6
0,0.8792810160921207,2.3495389277790966,0.8071999972216793,1.0671004337819145,0.2857142834653954,0.19149864530661037,0.38761868209971817,-46.35325370811949,4,6
0,0.9410922138835388,2.283025686427856,0.6249449256923162,0.6428568038521589,0.0,0.2633884454832153,0.409080693272431,-47.04548122615974,5,6
0,0.8639512492062698,2.5074866115805596,0.7807460851820194,0.6371407561305742,0.35625753925654874,0.16159452888063364,0.3568735626059887,-36.394648364541105,6,6
0,0.47932861738828286,2.2492432657442736,0.7264709183504899,0.7499999973121899,0.33653845978099006,0.16559755758070727,0.2776449606279233,-23.094835193877515,1,7
0,0.00018277215864737073,1.393972731819578,0.6223080330333404,0.6304735256682563,0.4864291768827371,0.22069243706503672,0.32286149776448514,-3.2910273417852025,2,7
0,0.0,0.6858554265323323,1.0811942785450648,1.7351709342735424,0.9550564521590182,0.12147561489310693,0.19389451113428913,64.08953188974462,3,7
0,1.9013708078242564,1.4367531600120493,0.6462606681039065,0.3849582925073837,6.9923877804446714e-06,0.2389752591556275,0.32378295657137945,1.401646297069341,4,7
0,2.1414276366641345,1.4191665896953434,0.6999136998854886,0.862068957402354,0.21739904319929065,0.22525010281723573,0.3375013233933737,-43.25034927802062,5,7
0,1.977666763843974,1.8991482644641993,0.6058925268074377,0.3095238069698269,0.01470544322150455,0.24652196388671488,0.3436156406488024,-51.95740276184072,6,7
0,0.5863061959069199,2.061775253476026,0.9213345777674148,1.031746055989543,0.0,0.13705055887527862,0.39601230686037436,58.7737386134046,1,8
0,0.13200473773278779,0.8751536334495628,0.996255023436097,0.8636367881441732,0.1634639177088325,0.10104858481198287,0.3431205262194844,220.75669010096794,2,8
0,0.0,0.39553262179755283,1.0065436584040492,0.9700444134912142,0.19178060105093214,0.12031213053646284,0.2869819787437413,263.10853649325736,3,8
0,0.5168234728828854,0.995239820825352,0.9642480790697183,0.6785708423968544,0.0,0.10200988632142738,0.2988772922016408,251.47306225896966,4,8
0,0.41831069051649583,1.1891566732930874,1.2238561672885693,1.4941302744277332,0.13559322250727462,0.1083480663435833,0.15665159791150773,177.51485228002747,5,8
0,0.3248122533592589,1.1492962209151156,1.052541077088653,0.7142857050498672,0.0,0.11646389325970635,0.1722218971264623,233.9537242111565,6,8
0,3.7949604782973854,2.428447288584058,0.6745000105298948,1.5906468332875665,0.006189816696163808,0.36007712443095985,0.4036634983464348,-253.0515772712301,1,9
0,2.0000507201799174,1.5428987408620518,0.7052461216048558,0.8474576257974343,0.0,0.3431343161736892,0.4194111658608067,6.07676923364879,2,9
0,0.8308234523564587,1.2385901780860116,0.6970412316686578,1.161290776002461,0.0,0.35932212447373246,0.427182133948309,45.16938333671034,3,9
0,3.447219830799832,1.9458933760934098,0.648251454181519,0.22619046664296494,0.0,0.36167611570019803,0.44455933757959876,-107.87164888641286,4,9
0,3.0221913279259494,1.5935200262423548,0.9888905101845455,1.5121950173199559,0.18888888821747318,0.32651173388051546,0.2689206657120525,-51.840598493295694,5,9
0,3.1285695589826648,2.195410088226964,0.6702579639375014,1.0740740408709435,0.0,0.3711899559611305,0.4391405573171484,-148.78236462043657,6,9
0,2.89086783676901,3.742918346334708,0.5635379277290196,0.4638043836549488,0.001663382606749142,0.2977754071936005,0.37366395247734524,-537.0765817623607,1,10
