,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.504858737267081,1.8865255139018904,0.576637295022867,0.6566811291412941,0.2376865378038806,0.30628631939803364,-450.0084948353082
0,1.1161103099123353,1.9147797767514867,0.5027127604139178,0.5279890466450357,0.23555281826501717,0.3049418547388512,-1237.083072674771
0,0.3281120610503135,0.4601039236108808,0.5,0.5609527103156563,0.16839449813339324,0.16499903924678522,512.828695715395
0,2.4479971873859045,2.6484506548076703,0.5,0.5061776047096791,0.2851340922757293,0.3045475718379649,-3393.8811960594608
0,0.5169379621203689,0.7640963923619268,0.5,0.5749153273170274,0.1620938139036252,0.163051715550306,176.27843215120322
0,2.057955542009237,2.42088891116173,0.5061137370078136,0.5049984126974192,0.2425728829720421,0.27104747331295653,-1411.3161262667147
0,1.7816779595528829,2.100484017630211,0.5,0.5,0.2753815802598744,0.31403140895692155,-2180.7314337131143
0,1.908280579091837,1.8292790152095209,0.5,0.6712413034008822,0.24540188216388698,0.26904327856086796,-1516.9397330714426
0,1.7027362833484243,2.157448773822943,0.5259798676060364,0.5702225251582476,0.2776677829755508,0.2902634140603112,-950.621756079948
0,1.4185506965685082,1.7504008165712952,0.5,0.5148869388274702,0.24107356270774355,0.2763266072370605,-1317.7347251610458
0,0.23527113586008114,0.31325771904206995,0.5,0.51044568632641,0.16113077474530396,0.1641417055653454,107.59272327775486
0,0.9135022462467239,1.3705367653328617,0.5,0.7574078411725497,0.21957137868179094,0.24304981254603408,317.16394346666004
0,0.45333963807076405,1.1262229966626043,0.5339132137878599,0.5925705700214089,0.16419125732818762,0.21204866334057887,525.2966849795797
0,0.09178737109995219,0.5913617812057057,0.5,0.5,0.16866567691979378,0.17435454581270854,-144.9708407810245
0,1.3861650898200482,1.5626461665460734,0.5218078893443111,0.5,0.3272375006666661,0.35326245118514643,-573.9662164238737
0,0.15508904163519735,0.6654091209513273,0.503957423531338,0.565107911926628,0.17047730735182182,0.19796984611054808,542.235067132379
0,0.7783439866955202,0.875066096246561,0.5,0.5049764544704429,0.16344800801395315,0.1734182788282797,-683.7564488506439
0,0.44977176734659885,1.1921646058961524,0.5,0.7016389690477605,0.15880269346087428,0.16755598959653145,718.9592379904076
0,2.2939694248729148,2.636345212413484,0.6203315016333221,0.699309400709193,0.4017762428920876,0.3911738512953358,-2079.5607332943073
0,0.46959008075645997,0.7690501735656063,0.5,0.5532639018154629,0.1730775353493738,0.18555057679732967,12.104885255222989
0,0.29228130331684,0.19317368912002422,0.5,0.5,0.1691687673698798,0.1619973476435429,-317.18298533814226
0,0.47892844791144384,0.9539203841100263,0.5295342989150441,0.6671599847102717,0.18113742126329935,0.1889674443080121,1179.8378456890434
0,0.0033178641812666356,0.25161195848161494,0.5,0.5,0.15640841640891484,0.1746462362071221,-426.8279050260432
0,0.22407475319369885,0.7081217706892978,0.5,0.6043285872813583,0.17446530152645684,0.18280616314642112,327.9862518848715
0,0.2192807448591535,0.948791107252151,0.5,0.7973029874476867,0.15435645050050717,0.1769054016853942,528.1143315907008
0,0.9030545126724657,0.9866148694057187,0.5,0.5408742420239626,0.19376271682213714,0.1739788205260661,-268.37299366602167
0,1.1917322342548673,1.7191295625600402,0.5,0.6287198375453665,0.1743515164685701,0.23257941378464142,-433.85963147074966
0,0.20301946905276522,0.12279836593600345,0.5,0.5,0.18725650278490164,0.21226131417815597,-282.2243242825756
0,0.44188415677232257,0.8005044654134793,0.5,0.5580649563874537,0.16441319836031215,0.2151889456120742,236.3315002805051
0,0.1962229402800992,0.2312029297283935,0.5028208470183846,0.5671902322491916,0.1778175492800016,0.17471234815075692,495.76876672052646
0,0.29662096020241907,0.2605415507520217,0.5,0.5,0.17937248751654866,0.17689339087096423,-32.456898896438446
0,0.4980633678275831,0.3281988429019749,0.5,0.5,0.171488898656723,0.18895596477399518,48.88666878985742
0,0.19814745176001827,0.22926728956291348,0.5027449390047536,0.5671986489422495,0.17640874627569392,0.1743930326479961,495.76765369186234
0,0.10642760405548478,0.7195821462810142,0.5,0.7966995650750065,0.18109572876080487,0.18771620996983146,779.0496196552523
