,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,0.0,0.5983890367707863,5.575326893491406,1.4159080094311505,3.2220621807517436,0.10580808486330379,0.10005515840080331,91.81941439635256,3,7
0,1.7716468795544786,1.6375715091735912,3.6211029974215725,0.7205417200839466,1.3765404189508885,0.21966341301683412,0.23572510004221664,-4.7885501018546535,4,7
0,2.2666690271876715,1.4452020572177977,5.575449250072575,1.1079034953151794,3.3069100426231306,0.19024010607734249,0.13888942990685488,-39.46932050239478,5,7
0,1.860057300762008,1.843313032170512,4.3155641365251505,0.7798307398231938,1.1006045464032068,0.22445894149678858,0.2895811670852607,-52.01596346421061,6,7
0,0.6936407078440736,2.0734802449388,2.4930041873848294,0.8547919992043136,1.6789895919618405,0.13401385512198116,0.29392408970488326,84.09670784506767,1,8
0,0.20841815365155994,0.8773861730387658,2.335128825725593,0.7649969181307936,2.5436687958179993,0.1453751709746708,0.13526997778291416,224.92343378630466,2,8
0,0.0,0.3812524530871256,2.549001398601881,0.858776368156688,2.3015713635237036,0.14808492894182973,0.1279325794235165,280.33739974952186,3,8
0,0.5621372859122629,1.0501385685732005,1.366834760824888,0.6773423713696203,1.6887579187605244,0.16690078460142038,0.1634520661618336,249.75433724090283,4,8
0,0.4737437246592635,1.2683256188256158,1.2559474909624448,0.6369629615147412,1.8414949188372143,0.1827700410248076,0.10080254151672913,200.25739422662758,5,8
0,0.3885786850579479,1.244015153092367,1.0923242993521975,0.6088534548522904,1.634221228913241,0.2146790091657219,0.10886811381962958,210.12493134675412,6,8
0,3.970366306527748,2.7292630292916598,3.7245684930521894,0.5436387549762838,1.3415343761157672,0.37718679386056275,0.33419197336266576,-261.10314436200144,1,9
0,1.9774357188572116,1.9496838886087162,2.4875441305540673,0.500835240916258,1.7181863868123641,0.38158707934520997,0.27187453087203767,-27.649003912888915,2,9
0,0.802250918465967,1.3661873847516635,3.02675222233448,0.5002374479296359,1.356360349882419,0.3899290124864957,0.3283973338298293,47.732517861092454,3,9
0,3.1432553679746174,2.1144309926830354,-0.6463928493400597,0.5112283256190082,0.7323236147804342,0.3776096002150711,0.4207664713696022,-121.72849630980917,4,9
0,3.004830411361821,1.8410375202999734,3.097543560315312,0.5643963416519151,3.1346600616394777,0.3821260214949248,0.1023977599710571,-87.15366467219124,5,9
0,3.132105363940934,2.4706847542847994,2.911123789864195,0.5026401271790668,1.4091856176126893,0.3967605084326438,0.3447717665259531,-165.66726598571938,6,9
0,2.575204543893465,4.219663556258767,5.314906501966795,0.6662907751941027,5.4382805989326695,0.2809997395301152,0.12133657452039276,-542.7451437791894,1,10
0,1.4302586558042434,2.647562096215905,3.9704599524413298,0.689130197179979,1.4543696004836235,0.26592219181592813,0.2863613824801149,-230.46982867483865,2,10
0,0.6130596279668743,1.823577653380682,4.98625591071348,0.6246552800971106,1.176608821060844,0.27451577063739324,0.32310989220673847,-66.46446272038932,3,10
0,2.1586844452235368,2.389157699563501,2.97198774619774,0.6578997351671254,1.0738783946518424,0.2641709425231667,0.31500729024716834,-219.25630804436088,4,10
0,2.4407131979476073,2.4192546246017765,2.8189465857354774,0.6755820355688211,1.612403366563154,0.2610008008328284,0.2546053632696236,-227.6562830636761,5,10
0,2.4964567706677254,2.6699633907960005,2.579101279109787,0.6402683413432388,1.1482942954199467,0.27127998278459303,0.3113073900190628,-295.22497982650094,6,10
0,3.5017355705713284,3.7320144641863977,5.266042024189143,0.6347229866487174,1.0709142412976944,0.3309779644245301,0.33457462293092916,-629.096332878476,1,11
0,1.0806997962799878,2.2988086975569857,5.738379194192545,0.613131069968258,1.0070035034967195,0.3280244062690494,0.36314443122415235,-237.27342483569856,2,11
