,Vspeed,Vacc,Boundary Separation,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,0.23480968787808898,0.8389087018110022,0.7426441266349615,0.9792245134920945,0.4049604915861187,0.24346372162010738,0.31347615355466313,12.076098867546037
0,2.1688021022800656,1.4219455629890614,0.5437679531889626,0.12844036143328982,0.04671867267982549,0.3585307146201611,0.3953417600675812,-198.96233751234416
0,0.0,0.0,1.3242673489958512,0.7479526010541113,1.1002893019075395,0.10780621088135994,0.5192942742031995,488.37213026521334
0,3.0310927778039414,4.965915128697212,1.0956452863076422,2.3928570124359325,0.9599748736980063,0.29273355629556647,0.32606102025161793,-209.75554986739925
0,2.0316852083916097,1.9783525196402612,0.9326168936414198,0.8194444308050807,0.9865627711349798,0.2202862162896287,0.3021026401534441,-102.16008303142559
0,1.431709120523272,1.5818675146161854,0.838024587644076,0.9771478915859468,0.5171574188341062,0.24130369018101494,0.2995806168481208,-196.22211824079554
0,1.361935237189944,3.791109061964078,0.614580957589121,0.5852549693699394,0.005946619253337282,0.23623413373871582,0.41588114321137365,-500.35949446107537
0,1.3433064531500276,2.252972594154052,0.8389092353249743,0.5295266520587585,0.4640853565898504,0.17267048806626378,0.27627985132100363,-115.78747965545395
0,0.8364583501523679,1.3864878344463425,0.9479811862991534,0.6152641146897366,0.939061138241766,0.16220787554154625,0.28929893480210117,104.2259571397417
0,0.022908047392269815,0.44898232018338335,0.6412049246216314,0.4484886615369885,0.09498390154097125,0.14260631151180475,0.2729722318781457,302.27145170480463
0,2.7212975476994474,4.568567027452199,1.2154373610977496,1.2940952459358468,0.20689654485627598,0.30344836348787924,0.3669825135728734,-83.97840981378904
0,2.2947219814251953,2.6862809160170023,0.6458009825746932,0.9180192265990608,0.2999999960342895,0.3166768687458672,0.34091178716332254,-705.5668343659011
0,3.687552413066167,2.856619937142496,0.78707836515968,1.0333324354087763,1.4615384589947906,0.29945576963038045,0.30447807649176106,-668.1689549072327
0,1.5192441323609867,2.973192182917963,0.5971282667263655,0.37018535055751584,0.027325115464855696,0.23093910247724403,0.32462438776886393,-401.26886447433793
0,0.4134323266345193,0.1098097515014687,0.8959130320691051,0.8964783352794398,0.5016180818188298,0.2322933866222895,0.24809211392532154,546.2732671517743
0,3.004597658269546,4.62388939979841,0.6167856678470693,0.15353549874776018,0.3463196517071321,0.33848696286078117,0.37921316214707623,-467.55092526221426
0,0.6021239742434086,1.654190920181466,0.7155150438417732,0.39516631347959774,0.09727114107447586,0.1434128586459289,0.2587542712092966,372.0586006861789
0,2.813191807956523,3.3957380610067514,0.7329585264730643,1.0296244884571708,0.7439709362485927,0.2599414635339767,0.26655929952419427,-1030.2500032129335
0,1.713404477642655,2.565978519197461,0.585266815536417,0.4390243356334076,0.5384538365485197,0.26787140231256,0.2972818939751671,-350.80245914807233
0,1.480954503643753,3.3062898657178548,0.844588803772668,1.381931735938337,0.7633432226085605,0.19750482143384984,0.2701314086683497,-980.7150254452923
0,0.6165257664629866,1.9260228416227192,0.5335269886158609,0.5270094271252486,0.06808463505996687,0.21396054686159177,0.27101424156845855,-330.179616358866
0,0.4129380267912004,1.3098023934245044,0.7566670569058727,0.6769094379729945,0.5692908116035458,0.15353905181649607,0.32083707438720666,119.1934311752123
0,2.516345779288678,4.686276565801859,1.3915146826467226,3.1176470581471327,3.598107990750768,0.2273045106221953,0.3364848983228286,-270.1738678493561
0,1.7170293207328358,3.342885253867805,0.6033363682789457,1.1902494583488032,1.067591128180105,0.21457308439071643,0.29246824398610555,-1190.9926040558096
0,2.071211899923581,3.9978786791520893,0.6996156501359976,1.1339788983682781,0.633333904107875,0.24584235502934315,0.32295069243959473,-910.9970067810399
0,0.824154340348155,2.806466779045593,0.7525736577033255,0.9917366845488047,1.0562560168832031,0.1448091326998115,0.293834219365718,-550.8628070029321
0,5.177807353985445,2.4902928790194387,1.644988396341478,1.103448270301485,2.7234628723279366,0.21633778551303978,0.2043007596318222,-249.78871287670904
0,2.269606194083104,3.922989462639422,0.5668245540817525,0.6478973901238536,0.4200497331505042,0.2485768382503193,0.29271128949308794,-934.9796429759508
0,2.942100858373159,3.602877250156312,0.5070940843515044,0.49374602770094467,0.6210892355216333,0.2895357613581842,0.31728761497654245,-954.5428474731964
0,2.9882976445628016,2.777010518859915,0.626160763350521,0.8750012131349646,0.5333333331724668,0.31243169018525263,0.3137004816558518,-803.4116023635038
0,1.6229269958561972,3.5694829295650696,0.7232622349640918,0.4587322819621056,0.4941178970663731,0.21919911682173837,0.3093337211322307,-303.0162963917467
0,1.9300639957690593,3.4173354729759757,0.6617000826815949,1.119048277046522,0.942860486658575,0.24146621956345588,0.28201174713673727,-1358.3382738584016
