,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.989123228521453,3.8717887639027695,-0.3546223196285863,1.6645393987894646,0.5068915291718556,0.5129916006682285,0.35887806343327505,0.3834368902724731,-258.3277872576292,1,1
0,2.4558865171195494,2.3698476557532566,8.17849470809363,4.896786804344618,0.6867098754877405,0.8816073059246281,0.3629548173908167,0.357937445415305,-134.62489382806234,2,1
0,0.9045188697803579,1.7498501504421282,4.318620916047765,4.821636292601795,0.6128349054243598,0.7164528780376305,0.3490547592140853,0.38620125276902467,-12.876077880571813,3,1
0,2.3775174891293345,2.8637891160989843,0.37438912510673644,6.606344996238235,0.5038016931988092,0.6879862644865424,0.34226338385732413,0.38130108721033956,-161.42339276320257,4,1
0,3.5375499980087945,2.9633190067277817,6.827640934520764,7.700285594240175,1.217457689752584,1.7573845051829782,0.31757004381947984,0.3048704229576186,-174.38841214538814,5,1
0,3.413164794349826,3.324624824723583,3.1646923280949752,5.802523761661149,0.6125917451265268,1.0509880079072889,0.345825213729684,0.33245946542976446,-219.07428249732618,6,1
0,2.803945406056091,3.3100723010225743,6.972258707091505,4.486542316604475,0.7784423036133932,1.3356753442597546,0.3129385389613917,0.3767331022369672,-187.35236112192246,1,3
0,1.6164198147662616,2.086998394056302,5.58086994232279,2.39248126866049,0.6073683982466789,1.0951090581906309,0.33443286830629837,0.3527489353407029,-35.75019747177827,2,3
0,1.555848541508153,1.8646806671264753,5.117986507389502,3.6289279009071675,0.718706444901779,1.5043308528765222,0.31279093600913194,0.34868719091081896,18.0158450234034,3,3
0,2.1728841753997057,2.193153062299067,8.565464956576864,2.5318635294332346,7.878812136959196,2.8599476017901573,0.1160959634703227,0.10356932414721581,-7.655606386167591,4,3
0,3.1137121359078654,2.121727313125812,1.8413022327745436,2.3602426970597095,0.6905480949173608,1.9943930229541746,0.30433465446961055,0.2232428340809507,-46.89271942159978,5,3
0,2.7622875123400408,2.242680098761196,5.672206450768797,1.119752578562349,0.9688425911329377,1.1595030307898804,0.313156258915424,0.32710616160747885,-61.09459052974337,6,3
0,4.123994590593763,3.657020445065415,10.0,4.404919383921114,0.5015318075206419,1.0156561543659097,0.33325545331518314,0.3045075813031708,-304.8859575079955,1,4
0,2.550669547251161,3.2659793610000443,7.912798602182682,2.9647995014773203,0.5135565738127554,0.8790096696141032,0.3326946223386385,0.3437209674682272,-218.59310541992954,2,4
0,1.6509292350525206,2.082396801073971,6.405630684312097,4.460778368528487,0.503243766738013,1.1058318766775557,0.33853773393004016,0.3126560646536173,-88.68793516999143,3,4
0,3.8289818644441986,3.279065673126388,8.852847824976562,4.208112988713415,0.6420301222316152,2.6280303355938797,0.3488457634708445,0.19281103936101568,-233.53602423413423,4,4
0,3.606369059448815,2.4807130445450007,5.48415747988446,-0.73931760481658,0.528139629932566,0.5901300263593989,0.33300858938168715,0.3590829575211386,-199.12852898473903,5,4
0,3.3092833188279895,2.3987970802048366,6.141508687274525,5.021089419750899,0.5144108739686404,1.0671523533346905,0.3281065692860457,0.31287515135710203,-193.62609243010863,6,4
0,4.223315504018606,6.0,9.47517697640071,-5.399290870071191,0.5907484366348204,0.8849167193022138,0.32781353131507773,0.36870228312799136,-292.00756624850396,1,5
0,4.087457509250932,2.906132322228765,10.0,8.381516752659453,0.7630902164040991,4.326673872513016,0.3464199431144044,0.29248223968300496,-220.83515765116118,2,5
0,2.345636946372834,3.39660620521374,6.417197935878018,6.780545106387528,0.5948353101734263,2.767047412035099,0.34968693191704203,0.3467862510961044,-182.8146791331513,3,5
0,4.96887913565839,3.299053730496088,5.734634830063779,4.072347573869908,1.067222806334485,1.4312675292655066,0.3209926836853958,0.3603056591805793,-264.25136520212595,4,5
0,4.272791449768758,2.713156010378349,10.0,4.503607564378984,0.5028568969413763,1.240348616465225,0.37330691120531667,0.42976663268468906,-222.9794965124758,5,5
0,3.6415647867639347,2.726909496262836,10.0,5.061485552869715,1.3544005612953955,1.2298758121813318,0.29986363587682074,0.39039620850553874,-201.49165226024508,6,5
0,2.5178623020742616,3.0361630217104025,10.0,5.0143087811716605,1.12523717758223,0.8304013991211963,0.25189341913648905,0.36797482277403715,-193.5003794372679,1,6
0,1.468716678726757,2.3877192665634004,10.0,4.811182783746897,4.433454911191565,0.9192873072774743,0.11232440262027688,0.4049811941207664,-91.56488191857946,2,6
0,0.3849364531714637,1.5689856712224666,9.910583841006062,1.4573727877370577,4.238770480127923,0.6056713896634247,0.10729104544807472,0.4339980638937949,16.657031655254897,3,6
0,0.9172025149830958,2.6852322673444764,10.0,4.340887553162953,4.824630312639897,2.304279620986846,0.10670321456175547,0.279675814624604,-48.0994397059776,4,6
0,0.8793796236759166,2.4351102743402366,8.629868459808993,4.029058639720677,1.10655452330779,1.0564680755192266,0.24232913076026563,0.3638501677995619,-43.447193739183206,5,6
0,0.6112577244276759,2.5998096746320103,8.871266846145598,3.6747127219328113,3.6079597816437077,1.0249016936095674,0.1091370686441055,0.34609912142177435,-42.61721175606308,6,6
0,0.20247172453249349,2.2367025861056833,8.755870592526168,4.079114820002336,2.601411000544933,0.9415717946696782,0.10168866888387801,0.2620369722028808,-23.052488767987548,1,7
0,0.0,1.523691263425694,9.569089484486833,4.230485867559702,1.6697332980344304,0.7782020864738044,0.17355519311434914,0.31918120133109107,4.75071507858182,2,7
0,0.0,0.7162994082749229,9.817245241761189,6.661237800087325,3.4969386718916424,5.2527732390362205,0.10071738610922948,0.1058861795493235,72.64722621613787,3,7
0,1.8917607694290899,1.695650471018802,7.456867269386422,3.5828704562781644,0.9869610526797046,1.2857131944471298,0.22153314160509213,0.25017363489193234,-8.565408039884666,4,7
0,2.559083121222067,1.522845533574634,9.928286735748278,4.767864204376442,2.4286621483076543,1.0409825035502167,0.1701288766967548,0.31139223983591185,-43.609439439191604,5,7
0,1.9765918982253237,1.9270198537693604,6.916334488920206,3.6190415829206013,0.9006959401513717,0.8632052386444897,0.2322867708803853,0.3248333144435289,-53.96932066803045,6,7
0,0.6107817236181198,2.6995486372420916,7.054150466670808,-10.0,2.271211892628351,0.525896870952665,0.1046222414852932,0.46157367743335725,60.58541137044146,1,8
0,0.0,0.9438849462308093,6.429413900132966,2.3078424828478292,1.7937779632755801,2.0392229576569796,0.10667086406839094,0.23021110466792466,211.2693274863443,2,8
0,0.0,0.39433708454940186,6.517283116897041,2.3751068737469554,2.2100591188988177,2.20793453101536,0.10766525533024052,0.12063220022429655,261.864886905795,3,8
0,0.4832720188962065,1.044843607486362,6.034831214040096,1.0037516963112194,1.814251553380375,1.3660287864137381,0.10315927472109926,0.22293981057560097,237.02921373410175,4,8
0,0.377142805584575,1.3486796173712166,7.136028985706347,1.5506449118941088,2.376715223729752,2.154079391578651,0.10356315388672627,0.10312089231135307,173.49803962248353,5,8
0,0.1141339068358067,1.2698220549804808,6.6534887879524645,1.1700946314412566,2.1419751775174936,1.7022101039624773,0.11011196860984607,0.10778335964675734,200.09267896595014,6,8
0,4.158341220174498,2.903714513067978,9.347739374878362,4.196789336441216,0.5963323908531453,1.3226149609908395,0.3855310330734961,0.35162544333928053,-253.62298473056637,1,9
