,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.3729093795155942,2.0197863610186597,8.474858957311895,6.839741887031802,2.0192615164455683,0.17760385063080975,0.24025803121682254,-1159.5281841333565
0,1.0177572675861852,1.9157630200741103,10.0,10.0,1.854995203409009,0.1840042858120149,0.25789577584458995,-2310.386944532835
0,0.20377924741292816,0.3480283890940421,8.43045690990079,8.412920099465795,1.6070344268549435,0.1056048415951582,0.14340397333497412,-417.082495829871
0,2.50316582552348,2.7612462825094037,10.0,10.0,0.796438624092147,0.28701283709008124,0.3056993088488147,-3834.9310487670477
0,0.2976673260436819,0.5622796771598271,10.0,8.982340006344257,2.007459522211829,0.10293876849561345,0.1310756066007684,-274.05380055159713
0,2.1094871294313657,2.626961382854021,10.0,10.0,0.9216334647439184,0.24049832746442368,0.27738645695669545,-1791.5956318486374
0,1.5733465315816466,1.9485201377342005,10.0,10.0,1.3293737724891153,0.22348570224202585,0.2639838049349252,-2854.939886086029
0,1.8536639157488828,1.8550555393662405,9.8556976486156,3.1086620579235915,0.7718596289550721,0.24373507556876145,0.27218607726866545,-1973.5237882724923
0,1.856339804682317,2.295596968331031,10.0,10.0,1.3731322932873127,0.25832943279138615,0.2852378761059547,-1405.3986835357923
0,1.0804400415481152,1.782419770904271,10.0,10.0,1.5489952867287244,0.17995073738577227,0.2322113479819778,-2066.1983502247567
0,0.1185859431818228,0.17542457597913863,8.145776919049188,8.336935641720869,1.1723460029643595,0.1288315869359054,0.13852821714790925,-465.63715341792954
0,0.7379483505118278,1.3287232480551685,9.632014625915401,3.521416065776961,1.1237257256464224,0.19728018143387066,0.24730412861403295,-271.65620622436256
0,0.31090848058666976,1.0240572514418687,9.261607907835396,8.50602612674655,2.270338956041856,0.10675975514538438,0.16661347728982145,-496.4020376013882
0,0.0,0.5699388215978692,9.71761536651264,4.503223597710668,0.5953676418779805,0.16413975932104619,0.17175088263080684,-303.08112699316064
0,1.2810571442287004,1.431774204649439,9.716490568184598,9.636157503284277,2.2124811899289054,0.2449384663403334,0.2674580998582775,-1507.8243948262018
0,0.06860374407024808,0.6228000592025192,7.968015649877076,5.318188933232165,0.8080406569945815,0.1749179967858624,0.19139269243907098,175.1578548061279
0,0.5333355324625474,0.6960025919309082,10.0,10.0,1.2506819372653744,0.12972016196993313,0.16665229009578336,-1490.4375237382526
0,0.26128723929737396,1.0548717468514346,8.116237770121229,4.669364406973972,1.2026636348170099,0.10495226499563082,0.16677181376062927,411.86772167088463
0,2.7447035670096804,2.9881429500963015,9.255375549578085,9.792353354783248,6.790521270220264,0.25274178203636277,0.2727459595582481,-2721.8021079107425
0,0.3517759412975258,0.62237367123972,10.0,10.0,2.1495824814499005,0.11281675573662692,0.15921284796860624,-1282.9225436986756
0,0.27249680061627046,0.06293628679879339,9.991839248786082,7.9462174100951755,0.872107131227593,0.14274414376363886,0.14803264172131003,-647.093334497795
0,0.23218729433987462,0.658496255491567,8.102304525687982,5.716466058500758,1.997497274832277,0.10554486379147676,0.11208223363911968,668.4943283090348
0,0.015624179335173297,0.24169237476289712,9.351833542938214,3.3763322903490236,0.5257646741937632,0.1681118424747463,0.1718180233921952,-797.5975834445746
0,0.05828023486038985,0.44381907305912754,10.0,7.7908795837430205,2.080492757694361,0.1065804070349543,0.14891677210991222,-85.23317471276837
0,0.0395448771433875,0.8994422052692497,8.519440534678598,2.2409395199056648,0.9843661017758332,0.10088076109431965,0.18830029107044743,456.1742496449501
0,0.6953720910260477,0.8247368940738479,10.0,8.766123862751769,1.086452154099471,0.17122790919743824,0.17015102350560002,-703.091918442917
0,1.1295550090799407,1.6669220687229847,10.0,4.823693453352972,0.9585583085137324,0.17160556942282468,0.2282112167114848,-749.6237971126591
0,0.17799939313021143,0.015412476491651648,10.0,10.0,1.0861112933602555,0.17783420905652236,0.20856749044798711,-971.4075688213082
0,0.23142283151730342,0.5686988597216656,9.873726554045511,7.43929977219629,1.6143951370275111,0.10498255493572628,0.15663212087999967,-43.39150012990098
0,0.1020430095227349,0.11698826099245002,8.777453857342053,6.9784769229495085,1.7804055030152197,0.10355066558785331,0.10266813286308768,228.70640142471134
0,0.19243716592676563,0.14842784935495867,8.19230933336941,7.336050265959164,0.7660178102880919,0.16007196786489003,0.15387487227957858,-146.22358299962036
0,0.43095722251536533,0.23698248372093506,8.184842336607026,6.330372940639108,0.7422294153728766,0.1615626723031185,0.1680152293881484,-42.97256766817749
0,0.10419337408136883,0.12062680773107645,8.930386192666917,6.743442367433206,1.6804477369551054,0.11666173077132519,0.10602741774315744,228.9620623464193
0,0.011339106624747896,0.5160941395183338,9.90894809688185,3.7506349254549165,1.8718917364677936,0.10592498018163116,0.12081667847325622,515.8713586831415
