,Participant,Drift Rate,Boundary Separation,Non-decision Time,SAT,BIC
0,1,0.7565975386241355,0.5524423151974467,0.3201767295215179,Speed,89.06053381189604
0,2,2.6368215555193615,0.6320881950298812,0.4236407629638281,Speed,-227.05961281137724
0,3,1.1989736581977242,0.6663895769274687,0.2073277907725829,Speed,97.46896748119019
0,4,1.5426580383466968,0.7854999503608923,0.41012655018347166,Speed,118.51022801348981
0,5,1.7996504657176973,0.645157280973895,0.33147561382590807,Speed,-55.0927018029008
0,6,1.418956800766242,0.5641554071466528,0.4213124514994816,Speed,-19.19183463290591
0,7,0.6455172362210462,0.575212003160278,0.17782756172958453,Speed,120.98226809141732
0,8,1.8615075246755395,0.5957892106057386,0.4091904679691485,Speed,-89.83314459356808
0,9,1.916822423640362,0.7276624447616624,0.4464373568134286,Speed,-5.415031864538916
0,10,0.7607699411502262,0.6848341140693845,0.3618484191057125,Speed,251.16423318942668
0,11,0.9602625996263051,0.6310158585361219,0.41046455822409145,Speed,151.57877148093746
0,12,0.8839498445461671,0.6736044421821826,0.20845716726185937,Speed,179.57912453697273
0,13,1.4937049204261819,0.7754944200059727,0.3895790444097803,Speed,106.47042713956611
0,14,0.5212967962919515,0.7651467264182901,0.38081555138738765,Speed,365.0289267001535
0,15,0.8779817640911365,0.6166724375463918,0.28463159139995037,Speed,234.1983089976601
0,16,1.4157912832144757,0.6800989312196835,0.3891474691158293,Speed,82.5187537012373
0,17,1.5226868797554567,0.7842743792201108,0.3595657502500751,Speed,113.5361426858204
0,18,1.174276994495937,0.5876169806105948,0.3708008854425421,Speed,51.31797910264868
0,19,1.0480650098828181,0.696807505612214,0.3331321244672656,Speed,173.31613188257725
0,20,0.5519723385865429,1.033439140600329,0.16899915866519905,Speed,521.3405529886454
0,21,2.2799474790617706,0.5713304247426207,0.32008086455402934,Speed,-196.17151093818993
0,22,1.8906487179780969,0.7526194583355285,0.34239498707025706,Speed,-8.326817234719115
0,23,1.0105275363297446,0.7106697764376372,0.358034965957991,Speed,211.7049309194227
0,24,1.0650767697095547,0.781670969708714,0.4676911070350671,Speed,237.5714233283896
0,25,0.9003349806926937,0.8766015411945067,0.2760679600701024,Speed,320.96964215283424
0,26,2.1542969678359825,0.6522070169864904,0.4690301122040715,Speed,-127.48457137339992
0,27,0.9288526482474828,0.5,0.3282295571172942,Speed,-103.07060898286971
0,28,1.7427335982178214,0.5412648560202078,0.44024428972069285,Speed,-111.94932772603377
0,29,1.5859355798779888,0.5344963354343872,0.31873345737543757,Speed,-95.8250985152581
0,30,0.8065413214520857,0.8186116593991171,0.4760689276492076,Speed,347.32309608166486
0,31,1.2367382414317245,0.6218185081002602,0.2942471874908885,Speed,73.9209602190521
0,32,1.4014386395629383,0.9002574926959624,0.35614403729722377,Speed,197.33028931434734
0,33,1.6313574846304935,0.6504884007865448,0.35211544989509547,Speed,8.655437043408085
0,34,0.4805606969068363,0.5884324171013358,0.1691561571044189,Speed,131.6753191540827
0,35,1.412237591089319,0.5,0.2971460179671594,Speed,-134.68857653514473
0,36,1.7881291182112506,0.5,0.3986033740726602,Speed,-200.8382904794477
0,37,0.9950654831714338,0.7571645747361875,0.28802452135029555,Speed,235.32292702495488
0,38,1.6931960629716798,0.5218378814985762,0.28207313424466035,Speed,-142.03914422558813
0,39,1.9525394230041504,0.6040827461545389,0.2870116804224336,Speed,-125.13951063099066
0,40,0.8762240725627451,0.6454017057394141,0.3361619694197574,Speed,153.42705402138824
0,41,2.29471292714534,0.789100442218166,0.306475283209795,Speed,-96.56531517215402
0,42,1.5852076826209014,0.5877358290100205,0.32302516153407207,Speed,-49.072215145173935
0,43,1.232078897300766,0.6672844656950853,0.3434863944440978,Speed,99.18813922241584
0,44,0.7049571587536763,0.6995838312073394,0.31408077637529763,Speed,259.96905574415837
0,45,2.079085482719296,0.6571793267182695,0.36851047114013513,Speed,-91.0264491343681
0,46,1.2332833915166126,0.6865267368983652,0.3603334802179332,Speed,125.45529178182673
0,47,1.6765446861423754,0.7247605748506172,0.2912942869976941,Speed,32.40957272412283
0,1,0.9725057230323868,0.8573064633839659,0.38978231355155585,Accuracy,324.44129307914204
0,2,1.5375028679512541,0.9393826711464849,0.5249460410144464,Accuracy,145.62676800390017
0,3,1.5024460113980798,0.7275604934294895,0.3450925782651886,Accuracy,80.62598805999272
0,4,3.056633656439369,7.558454626779146,0.10127792213471493,Accuracy,93.5944368472068
0,5,1.0121364705324634,0.8958858723147407,0.3479084279497924,Accuracy,314.5415578837021
0,6,1.0471407055868363,0.8767724354844069,0.49855112950544617,Accuracy,317.38002771375125
0,7,0.8940593375065179,0.7073656078657006,0.36719583501015096,Accuracy,241.23848959743324
0,8,1.9384839234798177,0.753770365317266,0.5329913837106736,Accuracy,-13.037323579037995
0,9,1.4557976783832403,0.9222390407645364,0.4904196515018543,Accuracy,102.44015769182752
0,10,0.48270043701534593,0.873564047812492,0.3786252949677569,Accuracy,466.07115504629814
0,11,0.4226693168820588,1.031524420161348,0.4491869948645829,Accuracy,533.131200988051
0,12,0.9505012606499311,0.9554055682074114,0.46349130362080293,Accuracy,387.1924917929865
0,13,0.8907191272708609,1.0841000713559654,0.45826292946083014,Accuracy,383.38562289002317
0,14,0.6838683452743456,0.9262312500124616,0.45807538733835196,Accuracy,429.9666359999327
0,15,0.5372518779074404,1.034632638514587,0.2737329251270037,Accuracy,510.42897154135403
0,16,1.0262171478252209,1.0762334819822912,0.4802116853575495,Accuracy,390.33630469033443
