,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.6867617743178897,1.1365523441215641,1.9957785799295977,-1.9028261025822635,1.2489182678702395,0.6458617075569335,0.268972752473378,0.3938113278826452,371.82403864224403,5,10
0,1.5620206628161035,1.455217269693527,1.8634434404592897,2.072264243877375,1.0426829294986653,1.0794759200931,0.33838667308072995,0.3031332635183197,168.94375329887578,10,10
0,0.05842726370573035,0.13718224775529073,1.13163944203465,0.9701987025810321,1.7093475668070415,1.9300941270118313,0.11386239395282849,0.10481888221969327,666.189857326377,5,11
0,0.18917052613300764,0.09998859534108721,1.1911007416766717,1.3218149004438462,1.6651257535711435,2.6302236139108777,0.11042571470384649,0.16237094038319055,570.8052499768877,10,11
0,0.0,0.3850671793003929,1.0114469878038934,-0.40116214308916326,1.7233506593062744,0.9884982424267026,0.20353912070965563,0.6223865580781551,386.4888284857942,5,12
0,0.0,0.3725928285655978,1.2191324086610154,1.3887392573708939,2.0145476613157864,3.6661471183064354,0.16001082672008154,0.23298601629153987,507.6251831099927,10,12
0,0.25378486509687476,0.6132366718677824,0.7224962995454237,1.4462670732714689,1.3152203249603436,1.4094283749780385,0.3370838298509223,0.30211444427613265,414.3971260536189,5,13
0,0.7110817276933346,1.4153490377115372,0.0442700782263437,-0.6615083148878832,1.1429871227958435,0.9436313062158317,0.3202286852750289,0.3604551326178581,381.1152411438419,10,13
0,0.038106077940207025,0.0,0.4124315255742858,1.631645052724693,0.9655485864498976,3.24824021867971,0.14397305233521718,0.20908942346095055,634.5569969313705,5,14
0,0.019958437723367205,0.04058665624569893,0.07327888803293983,1.7039947377454348,0.9064095448532883,4.049180174496734,0.12227990818191625,0.10978357772057279,711.9708937807725,10,14
0,0.14478042114337789,0.16858916742224186,1.3547917062330233,1.1906932318028214,1.7695038761906332,2.31618677403567,0.2741777519761417,0.5704441551823973,478.01272778246937,5,15
0,0.35891933818054644,0.3268211348150878,1.4329534251908567,1.5458398591270006,2.0678292923228114,5.302431827234988,0.18888802068921,0.2604169885368073,462.11917491683073,10,15
0,0.40449511180179726,0.6618878591354805,1.684808571696637,1.257813018179085,2.315939349736544,2.809271670198325,0.14612226166369235,0.24401473435657572,558.7667357054062,5,16
0,0.498151755417561,0.9621200758470957,1.129605028907231,0.14765072993954673,1.308130725952457,1.212133693302948,0.3123311980466721,0.3500463618093522,489.36768594508334,10,16
0,0.0,0.1479258389304605,2.020140905856675,1.8237267756073077,1.2795416295954656,2.575281329785366,0.19566092984770045,0.139135845707075,614.6386761392743,5,17
