,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,3.0933818290366735,1.6421247109145192,10.0,3.091254776055095,4.0074192217235245,1.0498065113183066,0.26054661251752415,0.3285029940440808,-212.01178182924053
0,3.025572236498108,1.2354299712777688,9.969784907003753,3.2653688765932722,7.969479352757512,1.1813565782937396,0.1617786397245528,0.36332393190355816,-86.85507079638558
0,4.0228519871484325,1.626733276405891,10.0,3.432155123180153,2.776486117785325,1.345246043177056,0.22021295288640685,0.2324818880976101,-269.130195676269
0,0.9054560066011758,0.6189122731231507,9.064428590924217,2.848816339337427,2.170511666607599,0.8500849924265537,0.1851119744306608,0.30357575717806073,200.29565513005448
0,2.404980866915057,2.122192122227614,9.748910207367224,2.636217867051409,1.3828459636517003,1.2816644887215163,0.21926958583876677,0.2707078448254119,-322.9420503679126
0,1.7287299238709193,0.9481162112412438,9.999751227842248,2.7144944040912256,7.811821275455564,0.7744218833859051,0.10656305381315534,0.3420053199104208,1.2749223691180802
0,1.8224049911345273,1.6367380172622745,9.996436772485925,4.567649421798319,7.266684006964146,1.0968970585738993,0.10943753245438215,0.2572291667936304,-117.12128911964066
0,1.7365039482606128,1.4214676187820658,2.84803752135759,1.9881460170525078,0.8613497357358226,1.8119432162330567,0.21458873802362338,0.2226745881115607,208.47947246411104
0,1.7993299113126726,1.4626427027451405,10.0,2.8060566964531137,6.94569633834066,1.6933063221731945,0.10342925268484626,0.22398927612198993,41.74831390349572
0,0.6678719373331468,1.191964244397748,6.177739052743254,1.883566084839767,0.5039140133168849,1.5929073703557726,0.2174756616518445,0.14137768662580824,232.99421408943567
0,1.3863498822611562,1.0846009633542748,7.3856723319657815,4.244589421568989,1.4230397288557612,1.0435384898598974,0.19006841396681468,0.22616733846389842,55.08072582955131
0,0.6609733663459602,1.213786397736852,9.92415600837983,1.7943420207835195,4.133253288321112,1.432522468155259,0.13109711416293546,0.4153037801442111,282.0608808172972
0,1.247831376203604,1.290315640169093,6.081416915419929,3.2454066983987797,1.3452306594773358,0.938640645277308,0.1720557369368833,0.3199879763366952,124.41463107326157
0,2.3168022376928548,1.3891200984942726,10.0,2.032556675431269,7.527701890258472,0.9880319091402594,0.20702167915394648,0.5158297747818693,-24.959594391422435
0,1.627376018140615,1.7239074131655896,6.790054850727772,6.458845436264506,3.927578305567248,3.0400825627325547,0.10587196145331507,0.20915157774497423,-64.86122416827945
0,2.491823135843991,2.307001287882698,5.296603512471414,6.734283383732699,0.9750969933456517,7.277621162998748,0.2956035232350974,0.1415749835122897,-280.83031918184156
0,3.2823218410271022,1.7676476325913015,5.765642939582632,1.7199934635105685,0.6391803179537265,0.7294261740558685,0.30766094501245,0.3451143218072133,-360.8104482744522
0,0.9054470802631847,0.5799780640576996,9.832821912477224,1.9601871252701193,7.773009815951038,1.2737856908347247,0.17457096184293003,0.3744290866171419,391.0217355964267
0,2.822811064787095,1.7631127403344102,5.779153132758311,4.475078305520486,0.9283816668399423,1.5301339363351953,0.2532881675372375,0.33876830071913594,-257.4258482922589
0,1.920040078707828,1.3420027415994793,5.770646677911365,-4.008562290036573,1.4105204740482558,0.6026904995679891,0.2249793679768724,0.36646891546276983,143.34904419386254
