,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.8786284887257712,1.6409287874067353,1.080057627021012,0.9672805445075991,0.30413132781809604,0.3331992136692845,367.9023455807319,5,10
0,1.5165294484143934,1.980249946997238,1.054362671056177,1.0434993601552653,0.3359554806574143,0.3116682454032753,158.36268925883354,10,10
0,0.08980911334062182,0.9962706170584098,1.6450769153693017,1.8473988465466977,0.1159712899253465,0.10662109492639255,657.1310735340221,5,11
0,0.14854234551336054,1.2621031325517775,1.7522230983670384,2.489701599068429,0.10186947946966374,0.16318146580403475,559.3588355214374,10,11
0,0.019946530665467643,1.18629617832597,2.1966536465132545,1.6663154065837116,0.1008585586128784,0.4308788545122192,380.2478783082742,5,12
0,0.03207676875361248,1.3839100759186682,2.383141792693913,4.1788254913292935,0.10851972423383871,0.12964763359156145,506.5358987082938,10,12
0,0.404226546549499,0.8636821911886694,1.3940394445027522,1.101588839625379,0.34098496450004967,0.3415546491716792,407.50729359150677,5,13
0,0.9652002973505073,0.38828583468981415,1.31997421057528,1.0063875884611555,0.30667090426121035,0.3611275453062486,384.4558486608323,10,13
0,0.0,1.54508875081179,1.2964269925286644,3.3332477067553,0.1007980807131077,0.14094842585471368,623.7696164475851,5,14
0,0.029262450666766165,1.5361643557305082,1.208792123257794,2.901017807764325,0.1085068330329112,0.22605027748275214,704.2653999351054,10,14
0,0.15437487534777702,1.2752820575265649,1.6180857449368675,3.1529077135734056,0.33000000900414184,0.35519488349207945,466.3905651240586,5,15
0,0.35342476365926456,1.5189339309919596,2.2122110180848753,6.142584546485771,0.18260043712365415,0.14358489721676143,451.83367621838346,10,15
0,0.5059950389714112,1.400449972220613,2.0870966508540496,3.2133676038745898,0.1497514464171144,0.15998671659437058,553.9701667071915,5,16
0,0.7014981647039088,0.9531139192316459,1.2216004840633414,1.5442695014497176,0.34188255613194984,0.2973063143411523,486.7396503245453,10,16
0,0.04300789773481864,1.8314453988028718,1.2052110309436372,2.6149528210861437,0.195916267279783,0.12811007913163713,605.6101899241927,5,17
0,0.12061888567818856,2.553471415308239,1.754904398578978,2.6881477895952997,0.10216764405334022,0.21700095981120054,498.3925280119737,10,17
0,0.32987464330018224,3.6688095586610636,0.6527942793503496,0.8781188392028687,0.2059291228141099,0.18178287105984464,158.30325416638516,5,18
0,0.9666586576833535,3.8457241146573016,0.5423155137311202,0.8505905382943473,0.2568992747608586,0.16115274193233475,44.513755095516004,10,18
0,0.6628221589194959,1.496668439755377,1.3677196242059262,2.230872335540383,0.3234217617792785,0.2621663206830117,481.14581990183996,5,19
0,1.0411156782300752,1.3236059916461587,0.9172413787129408,2.486850873677356,0.392336001239987,0.11138096338232845,369.8261952898692,10,19
0,0.8918908641105581,0.9648671397849423,0.9533791199447967,2.0954513172053892,0.3625017638087416,0.15163585157168957,435.17401974040047,5,1
0,1.4844004338205117,-1.1700026090019482,0.8727213420263316,0.8970810776248075,0.3481530087814694,0.49590890591480075,295.29652332292966,10,1
0,0.838861766974803,-0.7277949859741384,0.8143008884796865,1.083909359594366,0.34943540168532816,0.43284341904083257,416.64796775861237,5,20
0,1.3427746232261188,-0.33019789408457545,0.85929437779164,1.1606652284056955,0.3779869687651807,0.39358374750706326,318.79432374414114,10,20
0,0.6092508811869611,1.1144461901005265,1.19430123261832,2.6717579645067895,0.26903522305264366,0.31055197471311846,488.1107876939388,5,21
0,0.9768302122954241,0.4972360906249813,0.9784162746360172,1.7454844321354122,0.29013016272930214,0.5241665488825826,431.99424830203407,10,21
0,0.0796518982189593,0.8340364882789187,0.8924588688508948,1.6097061964996917,0.10746363813511961,0.1029622272938076,821.7532835914268,5,22
0,0.19802074787166982,0.6192856386919414,0.9352665034896654,1.2016720455343841,0.12400043884334822,0.10883375962984493,947.0829190278627,10,22
0,0.39134284607417924,1.9141517490944095,0.9345431561226616,1.7310432177190722,0.21467437776599307,0.17417982973977858,536.4325597815724,5,23
0,0.7006146657653901,-0.5339571494516278,0.6441596545128272,0.8688215956652612,0.24451260082174192,0.3896130438122018,491.10887963627283,10,23
0,0.6727773832262812,0.8781327442856386,1.0717986513255733,2.2452135330053404,0.5082415635291344,0.45741570187778857,449.0239736865701,5,25
0,1.368231101271996,0.5625638738175386,1.0871357931345296,3.1859574848506345,0.5309444063934773,0.2478646001907835,330.07282386135216,10,25
