,Participant,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Self-excitation,Non-decision Time,BIC
0,1,0.3748836938060961,2.3835740194143433,5.931117713437139,7.2425035044538495,0.12922327130316807,120.77022228032759
0,2,1.8856518105172924,0.7467042614024724,1.182572646126721,4.795129564364595,0.32814064873938575,-206.56926272094023
0,3,0.0,1.558301537894748,6.031838970523497,3.0857082300681467,0.10099121578336762,576.5872498235235
0,4,3.922559145528814,0.9224170948219244,1.0914847390046516,2.4817052718556387,0.304813799209386,-204.78084587660223
0,5,1.9480264125227233,1.2732762613754365,1.9159420168679735,3.8832847144343967,0.19028659472898912,-84.86757673243214
0,6,1.4772610219214277,1.3622132765450274,2.7768541006601906,5.764425643920924,0.2048773684696718,-169.13180747789448
0,7,1.401677582368807,1.1147652435207012,3.7595384622273693,6.673382613121465,0.1881314815439954,-382.5955080387292
0,8,1.4816429704856973,1.9329546336363777,2.5945597177692994,5.184665180670906,0.11268973208828598,-96.85046109616052
0,9,0.9575094306440715,2.3348605547794454,3.2570056872635114,5.076793599376518,0.10076650014235988,113.16296201234292
0,10,0.11144620823834164,0.7436740283513394,1.9207762513796718,4.439516157419301,0.13378020692347348,285.0352925613237
0,11,2.8274599025765474,4.520754970719248,5.406806753567205,5.14732639322464,0.1474174674733683,-88.94765291982904
0,12,2.438228006726081,0.6826993034041999,1.020632389946324,4.2230929627739515,0.3048567628910027,-666.0860701523552
0,13,3.202251736361536,1.2917882931738887,1.4399163603734157,6.496633954447799,0.2546737418675269,-642.1958629974177
0,14,1.7329402575665183,0.7904186194700689,1.4994873029988454,5.295362608306294,0.22206260900282832,-372.6409321728948
0,15,0.18830556984838415,2.768165189716601,4.828633896290109,5.6948131620356826,0.1000486507308676,468.9876160042065
0,16,3.1466486663173217,1.076072850880717,1.3621776899133224,6.448323695464569,0.303378041171388,-463.15363738388317
0,17,0.6450246796007778,1.1743528341078173,2.690582025711887,5.060253211578283,0.10497588335986674,375.43554826823544
0,18,2.835504476685069,1.204670130530269,1.450247905883816,7.1966689513041615,0.22356790912142183,-994.7665382013388
0,19,1.9349653973052927,0.7437393435160935,0.9617627513752058,5.572279529762992,0.2505478106983608,-331.8221441757376
0,20,1.659514856329722,2.044378893064802,3.246971790643256,7.822262881634614,0.1367061438594972,-825.296500914179
0,21,0.5650983899579655,2.2302581511172255,7.7228452558916345,10.0,0.11002967106636102,-364.77375033465694
0,22,0.5764153834054367,1.7716856993973584,4.918189135332117,6.675159172571913,0.10092800060985685,127.89093167667582
0,23,2.925659226151175,4.305569103189023,7.784996775249384,8.672209826402566,0.1512785518470861,-242.2715808969571
0,24,1.9561741045492478,0.9620050743569708,1.91477687170965,10.0,0.20324436069016805,-1113.4702804737938
0,25,2.2460576660074154,1.3922099308828164,2.4185378374191555,9.219446491051341,0.21737164379875368,-860.5354509319461
0,26,0.876846528084738,1.6958775214492374,4.251433730374522,8.10226169889925,0.1005697027296894,-487.6694663201126
0,27,3.4393308681096997,2.5370797717164457,2.794578374975035,4.633521435657462,0.15276389629335557,-232.85303752108763
0,28,2.7175061916740426,0.843637493351459,1.1399912694601793,8.381955715289353,0.23906559115089843,-926.6181653344943
0,29,2.494665944207616,1.333911357938923,1.718999469378876,10.0,0.21820460834171035,-926.1950700546645
0,30,2.8633176475363826,0.7683313492109294,0.9103413253804642,5.793487081003729,0.2971732341360563,-795.7016881441052
0,31,1.9637250356314846,1.7890275665470137,2.5356527108434266,7.015930026900855,0.1679299896279381,-300.201589575291
0,32,2.1650190068403345,1.0102844818018832,1.6266181860073856,8.832192158365157,0.22571766654642955,-1256.2946706555313
