,Participant,Drift Rate,Boundary Separation,Self-excitation,Non-decision Time,SAT,BIC
0,1,0.6818098147418419,1.0817527672492324,5.4141079472683895,0.26939071269375864,Speed,81.58267361366282
0,2,2.581129675963157,2.00728032798155,6.304118438036285,0.33351396455756965,Speed,-250.85983616386153
0,3,1.1304871327390031,1.3306864552885846,4.75449373324456,0.1677377993096662,Speed,60.913939771366756
0,4,1.6258534298545186,1.4040185179746398,2.6140366575587857,0.3293601889420139,Speed,117.67606947435846
0,5,1.6304857223871674,1.546786835735385,5.639186613325064,0.27485330789625095,Speed,-89.79205027156341
0,6,1.3772031581794495,1.0546133013902743,4.952260593638671,0.3766373831849536,Speed,-31.988598520233673
0,7,0.46432974442761943,1.4075378812724422,5.689088788411572,0.1052149073390577,Speed,98.14894686595042
0,8,1.7900508608459995,1.0975864121831056,5.330107316244777,0.37359010519369457,Speed,-102.44891910928527
0,9,1.925350752200051,1.6934482868598275,4.053558156634809,0.36151796357698,Speed,-13.2689559460701
0,10,0.7450481002857801,0.807829715008042,1.7025859657502942,0.3517123331764119,Speed,255.3105759172571
0,11,0.9594474842979596,0.8487276807979454,2.9627081989615096,0.3876588399116418,Speed,152.210817204374
0,12,0.7430914228352018,1.7594919014640618,4.66996205494958,0.12143274643413582,Speed,143.29196415920347
0,13,1.5008018579462585,1.3890486236512132,3.3037479894956054,0.33816734581195296,Speed,84.6267355348005
0,14,0.5671678803760409,1.5515873372372573,2.902330238483426,0.27735051013035966,Speed,359.35647772893395
0,15,0.5398891638813876,2.099503841476476,4.548831801824768,0.1015125930749215,Speed,169.05866051142783
0,16,1.5472406363475946,1.355856716537609,3.8621339289695222,0.3212962034920087,Speed,67.12944258991534
0,17,1.6483808144534382,1.3479878519810224,2.96438150006077,0.30253375899457047,Speed,99.91972813840115
0,18,1.3102824918272562,1.2507811828877617,5.404394569675184,0.31543680567875787,Speed,27.481304714254037
0,19,1.0674045283426896,1.089053232711498,3.394861438037085,0.3038031188353802,Speed,160.7717958091427
0,20,0.5133049440238415,1.6210431934132985,1.4820424451324707,0.100747291434718,Speed,504.73632494976266
0,21,2.1474522670856646,0.8369026157293291,5.084928741983891,0.3067832297008013,Speed,-204.58421627625967
0,22,1.8378455012634891,1.593228239476784,3.903852830626642,0.2722379367276657,Speed,-28.79122337894387
0,23,1.0676101811690386,1.2136926682764404,3.196175826698266,0.3046362465145279,Speed,201.98804715728195
0,24,1.1823390922701937,2.1777469914985033,3.418715321550874,0.3266341298136015,Speed,201.97166964492916
0,25,0.894145158164734,2.5742608660312296,3.064265744657401,0.12926062241321074,Speed,258.30385679391736
0,26,2.11464348741829,1.8669787436507992,6.185293703615517,0.398811395345697,Speed,-166.17457427486545
0,27,0.8939307684421344,0.9702518328539393,10.0,0.3090989838209012,Speed,-175.4294818231709
0,28,1.6517286400312774,0.8535644271049199,5.676569009354856,0.4219065441323854,Speed,-121.1181421214502
0,29,1.3926474253679264,1.29150993654959,7.554311979879837,0.27350526930619506,Speed,-129.50114942218636
0,30,0.7797016594669993,1.5702168227772448,2.4649977650660593,0.36993035203876834,Speed,341.6616574135314
0,31,1.1719744155831378,1.0175285874420932,4.065338764622725,0.2581631592804114,Speed,68.27095808279768
0,32,1.5005699782298503,1.573069955321364,2.4416527434430035,0.29204952302677856,Speed,179.37490587556783
0,33,1.6317165949358627,1.002992593272424,3.6132782078355468,0.3191829695916695,Speed,5.212501676790936
0,34,0.3136259805224689,2.278027346986466,7.31126250347548,0.10079568983064463,Speed,15.303511306326982
0,35,1.1432436743891188,1.3009189961719363,10.0,0.2532134935040296,Speed,-182.6681806937199
0,36,1.5218658396894378,1.070177486035507,10.0,0.37307370233826886,Speed,-262.5830054532497
0,37,1.1189595248962692,1.6700638200232554,3.34470329504701,0.1951751968885948,Speed,208.04998865730096
0,38,1.4230770936374484,1.0626680244429645,8.622185319279952,0.2645536408522375,Speed,-183.55145982897938
0,39,1.6867557707647776,1.2875375484514238,6.966193574011318,0.25846901468707545,Speed,-163.19858081958057
0,40,0.7851762795842954,1.916237966166356,5.053537648251071,0.23258643879711938,Speed,114.91041614845108
0,41,2.1479776089129476,1.8369255121324488,4.754017009792133,0.24712260663166702,Speed,-139.1263515956481
0,42,1.4056931517334401,1.0163157843639437,5.558338676178342,0.29965497425555315,Speed,-66.78541442310808
0,43,1.1585157107414767,1.619670965617516,4.67352475249607,0.2661987943264989,Speed,65.28098057761142
0,44,0.6568288561608147,1.695417467732578,3.7662091936927227,0.20344680524713937,Speed,239.2482182247917
0,45,2.0329632169110528,0.8625143080192341,2.8098270258634304,0.34939773988933887,Speed,-88.61238760593767
0,46,1.1632158531385237,1.1161302743885129,3.4297546923062416,0.32078584822070594,Speed,115.2887110487761
0,47,1.6126886877899067,1.361614453333908,3.6842565652136434,0.23591460205017595,Speed,17.06535725544254
0,1,0.9748840591031952,0.8529645859023018,0.04721597021979219,0.39508952384406865,Accuracy,329.75621530002246
0,2,1.5711026920163962,1.38278900637169,1.667607696476002,0.46027297456857763,Accuracy,149.41559731990515
0,3,1.562728660240988,1.318149036089074,3.5341915740808783,0.2936177137189623,Accuracy,62.97801404866026
0,4,3.1305810213548892,7.427523941931776,-0.032728657745631384,0.10746613662223115,Accuracy,97.2603598256629
0,5,1.0844042685094797,1.5055294242890271,2.303653367195063,0.29278432540578964,Accuracy,296.43888411032566
0,6,1.072516312981154,1.1919850969563672,1.4230634639312802,0.4388139868217756,Accuracy,323.33431789243747
