,Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Self-excitation
2,1,1,1,0.0,1.104383524105058,0.11386120787651349,15.0
3,1,2,1,0.6597025194400743,0.7510549795568058,0.21926810295528693,8.663807856995208
4,1,3,1,0.3651063515040081,3.2134944107805943,0.1981043944700921,14.532719967257503
5,1,4,1,0.16869895670597637,2.494254077893977,0.1928382358714254,12.643557816680906
6,1,5,1,0.5645622419164125,0.7963123533084273,0.25972839303826023,3.3525259722985905
7,2,1,1,0.3574871791707033,1.2027124032917573,0.1019145808763331,15.0
8,2,2,1,0.5695310777616873,0.7728295568047132,0.22237431644131,10.456872122098703
9,2,3,1,0.5120199409339847,1.3434907653142636,0.24267091476680547,14.879176185923502
10,2,4,1,0.6785811465695288,7.971285703631431,0.1316654225470173,13.793236101643526
11,2,5,1,0.7747334220686186,0.7523324614484608,0.28338206226821094,3.8213361802042902
12,3,1,1,0.45012861815824484,1.0925307396179722,0.10719496932699057,15.0
13,3,2,1,1.2048717099435258,1.8150262470540368,0.1923219223828586,15.0
14,3,3,1,0.8923096257599871,3.0498123114479023,0.1758123311022729,13.578740311522633
15,3,4,1,1.462855759970028,7.3685204861912865,0.15049736879783454,14.670067201306647
16,3,5,1,1.0550456257644436,0.9368505912591827,0.2573146103183685,4.431666143189621
17,4,1,1,0.0,0.7001693126303814,0.14300367780070783,15.0
18,4,2,1,0.8231986144307346,6.426120334562706,0.10060569016532334,15.0
19,4,3,1,1.4687835438004793,0.883934941468262,0.2563444044968585,11.728296968854472
20,4,4,1,2.4689591353641274,6.214554577728759,0.1767983221268059,14.785566374325853
21,4,5,1,2.5623137675496426,1.0386831082103796,0.29828013791251357,7.231498598236951
22,5,1,1,0.00650800301610488,0.9549702896197281,0.10751538144597722,12.845073880084655
23,5,2,1,1.680947715189103,0.8758075909360166,0.2169174531473801,9.950204583441376
24,5,3,1,2.6366916196701697,0.5387443628221535,0.2796676614836371,4.590235667391696
25,5,4,1,2.260122925122305,1.159122499155456,0.25764511591955275,11.165482116397468
26,5,5,1,2.874170935966564,1.1106987246470696,0.27849592622410696,6.839557398633935
27,1,1,2,0.014438505646671373,0.5187837887630447,0.15485284582896153,4.052721113438469
28,1,2,2,0.0,0.5068417545953863,0.1506291703933319,15.0
29,1,3,2,0.0,0.9450413457987281,0.10088911981544701,2.287687069749986
30,1,4,2,0.0,0.7454604716183852,0.33384470275674094,1.6067644281346114
31,1,5,2,0.0,1.2108844141775243,0.3439775654201254,4.139792919184325
32,2,1,2,0.5978244073177581,0.5048456583220382,0.17327864579910335,15.0
33,2,2,2,0.0,0.5058898003876804,0.17764126000791075,15.0
34,2,3,2,0.005472810943943916,0.5068684172515963,0.20962157301717105,-4.53648728601107
35,2,4,2,0.30896214429000374,2.022036408128135,0.15407554756637154,4.369026320250655
36,2,5,2,0.0,1.5678289907679939,0.10129923940212326,2.608067157070273
37,3,1,2,0.0,0.8810665757728042,0.11481118982637373,15.0
38,3,2,2,0.19107369051385692,0.9122182681017681,0.10254380106705058,14.23655695656879
39,3,3,2,0.0,0.7083236734474649,0.11268590814907076,-0.49305256990315116
40,3,4,2,0.0,0.5465519853204874,0.30797374623613805,-2.9967955311398833
41,3,5,2,0.677652129522047,1.782810757990963,0.12949636592775166,2.438026543780654
42,4,1,2,0.0,0.7441214709102533,0.13564164273467721,15.0
43,4,2,2,0.02336808858412245,1.0838284650403707,0.10099406055910626,13.217348976508362
44,4,3,2,0.0,1.222906415089569,0.11700664845457587,3.2784218304702835
45,4,4,2,0.07461222356479648,1.6202060835657632,0.1967756247313947,3.4962195863568644
46,4,5,2,0.08553221587886138,1.0400515442758773,0.36918155858989943,3.2210222048361876
47,5,1,2,0.0,0.5956614313329727,0.14994698811748852,15.0
48,5,2,2,0.0,0.5081246707080598,0.17953886120409074,15.0
49,5,3,2,0.07867880685354309,1.1630675150860443,0.1015505276964252,2.944431262205955
50,5,4,2,0.31145110521857955,0.854885904547225,0.43990881871409593,3.33417406444666
51,5,5,2,0.26933334137283993,2.2207108078713964,0.13773255413888685,3.0011837688300758
52,1,1,3,0.07732016796254552,1.4764086306036988,0.10899269145381069,7.330057527512917
53,1,2,3,0.9958700309012044,7.978650551603752,0.1976182765963284,14.528358661602311
54,1,3,3,0.6794979004917436,2.2633185753471032,0.28055481449392755,12.60826552640818
55,1,4,3,1.4021713206422883,0.8309639998807059,0.3594252810521674,8.102865798904906
56,1,5,3,0.5547851341017207,0.616209216424938,0.37959286038630824,2.433017107538711
57,2,1,3,0.3278035961429836,1.665408408218641,0.10918698437341406,7.896944490465588
58,2,2,3,1.850277734782246,6.2146048100157,0.22994400095560408,15.0
59,2,3,3,1.3701774723142148,0.7233694133238955,0.35600917964518997,10.656359015233738
60,2,4,3,1.3339461805318746,0.7297421251635763,0.3431918807818089,6.683340200864135
61,2,5,3,1.1707305525103089,1.141157387680324,0.30341586406741233,4.933890769351966
62,3,1,3,0.5829797926080954,1.5656656176988037,0.10580151042302388,7.6869275776859975
63,3,2,3,2.7578735919580306,2.366144289467491,0.2839729647254395,14.738010376590472
64,3,3,3,2.2180425874170338,0.8195749558383532,0.34875405672522486,9.241142783807271
65,3,4,3,2.6653040281428333,0.7033112799107362,0.36130485012722746,7.812984502714726
66,3,5,3,1.6941515764356998,1.1687304792571749,0.28810706942608305,3.533314647372414
67,4,1,3,1.1208690557099021,1.2385525132801338,0.11821571033547201,6.2951698537062635
68,4,2,3,3.1202635167752457,5.398051011940058,0.23203843838302657,14.972617670741656
69,4,3,3,3.806211197641152,4.601143447036429,0.2575131584392881,13.823305930397007
70,4,4,3,3.7765795410905514,0.9160570921488222,0.3453695406654069,7.921598882416347
71,4,5,3,2.4990694190513842,1.6902411123920342,0.22718632707673758,3.2895205709415345
72,5,1,3,1.597126923823768,0.8409136803069668,0.1488760824970341,4.652649694860531
73,5,2,3,5.518075528140041,3.9783195015575616,0.27712463902762824,15.0
74,5,3,3,4.683338818261014,7.304298016870553,0.2303192377619524,14.936951307523934
75,5,4,3,4.430105833966983,0.683734144643084,0.3545111624889421,6.156616550110988
76,5,5,3,3.2554267201338978,1.0444967472871451,0.3305048043081771,5.86214419042547
77,1,1,4,0.025798585458952434,2.0370571170625045,0.10056952429327781,15.0
78,1,2,4,0.09896814578734416,0.9648598649728641,0.1942141104415952,15.0
79,1,3,4,0.06236925982112556,2.4728113985852858,0.17319883276413928,13.857425406393299
80,1,4,4,0.7996700128915234,6.846291427609858,0.17852679094450535,15.0
81,1,5,4,0.5099669648903549,1.715560157076033,0.26415388792333844,10.705315475013181
82,2,1,4,0.3595292209837681,0.5093042966597787,0.19104020564509772,15.0
83,2,2,4,0.28649124918980895,0.9159538963362559,0.1957915351898985,15.0
84,2,3,4,0.43600268688794863,3.3482658886034655,0.15106893384974884,14.339632004303686
85,2,4,4,0.6519851822552545,6.095125376959257,0.16420701929262316,14.337072558460038
86,2,5,4,1.047360212454242,1.3086003966443416,0.28068002680206044,10.770854108478371
87,3,1,4,0.3131259801613361,0.9374070362585227,0.15299338747844643,15.0
88,3,2,4,0.35167649606187995,1.1105319866912695,0.1840091188696218,15.0
89,3,3,4,1.1908643584962733,7.823202395893194,0.10732017125232512,14.537676812079411
90,3,4,4,1.8247269289657508,7.171092459186952,0.17199208794005788,15.0
91,3,5,4,1.7357084859769472,0.8266897426604745,0.31478787577470035,8.973501096818248
92,4,1,4,0.5631528673998994,0.5079280948067595,0.1903011566334245,15.0
93,4,2,4,0.8552160539142389,1.4640230599545405,0.16159792262573908,15.0
94,4,3,4,1.0948395918964757,5.1994676081643,0.13775649224695574,15.0
95,4,4,4,2.606198614620892,7.848894661258637,0.17636336571594607,14.862212449083794
96,4,5,4,2.7181127595635823,0.8378664280350638,0.31666680917389567,6.9019857005629115
97,5,1,4,0.2526540733511373,1.0041327469821275,0.1494491499242937,13.999757545238436
98,5,2,4,1.0626530274080237,0.6874786031021491,0.2121606334519412,13.95417988679028
99,5,3,4,1.844224242657825,4.455733127539263,0.15713834599752174,15.0
