,v,k,data_prop,data_RT_cor,data_RT_err,pred_prop,pred_RT_cor,pred_RT_err,bias,v_L,v_R
0,0.053540018271060766,0.04517773111475654,0.5265265265265265,1.200950570342204,1.1884778012684978,0.5165165165165165,1.1707714516628531,1.1863119740954935,0.5,2.0,2.0
0,-0.05449037654563188,0.022100008596780473,0.47289156626506024,1.1952229299363049,1.2091238095238082,0.47342026078234706,1.1788779911504073,1.2288982900244252,0.5,2.0,2.0
0,0.018295301875014835,0.0927991916156119,0.5090361445783133,1.1958974358974344,1.16443762781186,0.5040080160320641,1.1833691080968352,1.1558818212618218,0.5,2.0,2.0
0,0.01818204212614539,0.05375038516589352,0.5090180360721442,1.2107874015748021,1.174673469387754,0.4944944944944945,1.2140817994710091,1.1416159206744363,0.5,2.0,2.0
0,0.009157783796740456,0.062422270087043825,0.5045135406218656,1.1564214711729615,1.2247570850202418,0.5415415415415415,1.1806811035317726,1.2379045145791752,0.5,2.0,2.0
0,-0.009029616241799746,0.0205361146272422,0.4954954954954955,1.191959595959595,1.2157936507936495,0.5095095095095095,1.170383800585973,1.2064705967594542,0.5,2.0,2.0
0,-0.0350804689589531,-0.006564010238323394,0.48244734202607825,1.2116216216216207,1.2134496124030996,0.5085255767301906,1.202592186477329,1.1695234639274605,0.5,2.0,2.0
0,0.02670604241886036,0.1113783506070479,0.5130260521042084,1.1361132812499992,1.2149382716049375,0.5165165165165165,1.1978905936760538,1.2361967335618578,0.5,2.0,2.0
0,-0.036976404856721753,-0.012588493596964984,0.48148148148148145,1.2329729729729717,1.1975675675675663,0.497,1.2501007450559405,1.1961043510953655,0.5,2.0,2.0
0,-0.028169276048267803,0.011997158352514933,0.4859437751004016,1.198491735537189,1.2139648437499988,0.5190380761523046,1.1864167004543682,1.1827069091605271,0.5,2.0,2.0
0,-0.00010207731974442337,0.08795710594006992,0.5,1.202164328657313,1.1616833667334658,0.5,1.1968130813626707,1.154812505631675,0.55,2.0,2.0
0,-0.026080511548043514,0.00474808536015114,0.48697394789579157,1.233580246913579,1.185664062499999,0.486,1.2330765076181558,1.202932291250711,0.55,2.0,2.0
0,0.01204529963759551,0.016397355638481548,0.5060120240480962,1.2443366336633648,1.165152129817443,0.5256281407035176,1.2359554479964667,1.1826884258910044,0.55,2.0,2.0
0,-0.011074600710833524,0.04743970027754128,0.4944834503510532,1.1782352941176462,1.2115674603174593,0.5,1.2407886440859095,1.1957164231685316,0.55,2.0,2.0
0,0.011384214092937673,0.18845422217040156,0.5055165496489469,1.144980158730158,1.1567342799188631,0.4879518072289157,1.2229582513996164,1.1127405726979613,0.55,2.0,2.0
0,0.03558149734853526,0.06623938973428199,0.5175879396984925,1.2051456310679598,1.1707083333333324,0.48694779116465864,1.2290537635251804,1.1814406993978945,0.55,2.0,2.0
0,0.0020844567695642554,0.04684809166659713,0.501002004008016,1.1746999999999987,1.2156224899598382,0.477432296890672,1.2364734469224605,1.1512539690604902,0.55,2.0,2.0
0,-0.04259121079531845,0.06768466570145003,0.4789579158316633,1.1614016736401667,1.2124999999999986,0.5045135406218656,1.2218539171835798,1.1831820886376831,0.55,2.0,2.0
0,-0.029160284066793826,0.01099875059035944,0.485456369107322,1.2307644628099164,1.1842105263157883,0.4924924924924925,1.2443973263504389,1.1476989784483034,0.55,2.0,2.0
0,0.02605665685723216,0.20965443915719434,0.5125376128385155,1.1331311154598818,1.1562757201646081,0.5085085085085085,1.152165679750346,1.1502273388261843,0.55,2.0,2.0
0,-0.025811811686703177,0.1527254628062133,0.4874874874874875,1.1631006160164263,1.1601562499999991,0.4754754754754755,1.136937191597997,1.231904822388717,0.6,2.0,2.0
0,0.06418371528806747,-0.01279854744856779,0.5321285140562249,1.2166037735849042,1.2105579399141624,0.5270541082164328,1.2514084934233953,1.1890812062443932,0.6,2.0,2.0
0,-0.0009609880883651792,0.18791238814992153,0.4994994994994995,1.132164328657314,1.1701599999999992,0.511,1.1858029923591544,1.1375328144622523,0.6,2.0,2.0
0,0.018218856807073525,0.1387632195869047,0.5090180360721442,1.1787992125984246,1.152795918367346,0.5075075075075075,1.1427530429403019,1.1296380935582162,0.6,2.0,2.0
0,0.06385776407021566,0.30434179238337244,0.5305305305305306,1.141716981132075,1.0862686567164175,0.5295295295295295,1.1092043027847558,1.0563987037456466,0.6,2.0,2.0
0,-0.025036484863034822,0.2044634956599305,0.4879759519038076,1.1609240246406562,1.1315655577299404,0.513,1.1414988457758117,1.109073867183299,0.6,2.0,2.0
0,-0.004013716088281999,0.018532947300217772,0.49799599198396793,1.1932394366197168,1.216087824351296,0.5095285857572718,1.224201664748174,1.228491641544322,0.6,2.0,2.0
0,0.01102936914830478,0.011296806274749256,0.5055165496489469,1.2320436507936496,1.180993914807301,0.5005005005005005,1.1539800500246653,1.1830720751734802,0.6,2.0,2.0
0,0.006130694316853523,0.056186146770320904,0.5030120481927711,1.1844910179640709,1.2002222222222212,0.47194388777555113,1.2503289134760778,1.2457021671387611,0.6,2.0,2.0
0,-0.0002223309834528433,0.12223737678401549,0.5,1.191623246492985,1.1509018036072136,0.48997995991983967,1.1351034329422576,1.1713468665186284,0.6,2.0,2.0
0,0.01952091116243046,0.18263116654237965,0.5095095095095095,1.1822396856581523,1.121653061224489,0.497,1.1410230798798933,1.1680153585358681,0.65,2.0,2.0
0,-0.005028007170205804,0.015120288284472498,0.4974924774322969,1.1820766129032247,1.228982035928142,0.508,1.1670298228765132,1.2634504497665022,0.65,2.0,2.0
0,-0.0003688583296508225,0.24210828546297078,0.5,1.1742284569138264,1.095551102204408,0.5,1.1239258794846705,1.1016652030987992,0.65,2.0,2.0
0,-0.03567624856353224,0.08708089864702519,0.48244734202607825,1.1702079002078996,1.1928100775193788,0.482,1.1715774102868137,1.1193250731264874,0.65,2.0,2.0
0,-0.016855150307406037,0.23015962469494042,0.49198396793587174,1.1474949083503048,1.1295660749506895,0.486,1.137605993642488,1.1622231865853094,0.65,2.0,2.0
0,-0.007052115634343094,0.026127221994695863,0.4964964964964965,1.2540725806451594,1.1506361829025837,0.467,1.12512526373472,1.180702578994265,0.65,2.0,2.0
0,-0.005198921424705517,0.2881181764953151,0.49748743718592964,1.1130303030303024,1.1299799999999993,0.48296593186372744,1.1015029925126711,1.160332515779445,0.65,2.0,2.0
0,-0.04888019330798712,0.07248128640549754,0.47585513078470826,1.1824947145877363,1.1895969289827246,0.46993987975951906,1.1515333807935595,1.2201409860928794,0.65,2.0,2.0
0,-0.006077574408603487,0.16566725297584484,0.497,1.1575855130784698,1.157892644135188,0.481,1.1284261623156728,1.1612782773854204,0.65,2.0,2.0
0,-0.08844653089397847,0.28566146869749637,0.45820745216515607,1.1299999999999997,1.112379182156133,0.467,1.1118660678834456,1.1480249328692276,0.65,2.0,2.0
0,-0.012184235201502391,0.1699453018602813,0.4939879759519038,1.1369371196754559,1.1756039603960389,0.498,1.160273484815007,1.112703498288941,0.7,2.0,2.0
0,0.01653313516309745,0.13180752812387603,0.5080160320641283,1.1582642998027604,1.178574338085539,0.49648946840521563,1.1520139287233289,1.18895795888425,0.7,2.0,2.0
0,-0.018653215402259168,0.14195202447643107,0.4909819639278557,1.1728163265306115,1.1575984251968496,0.476,1.1715514752498155,1.1211959756809695,0.7,2.0,2.0
0,0.039328723529706726,0.1764698536135809,0.5190763052208835,1.162611218568664,1.144864300626304,0.5416248746238717,1.1552430609575204,1.127007753769097,0.7,2.0,2.0
0,0.07579691438934621,0.2611579328073806,0.5360721442885772,1.1094766355140182,1.1491792656587463,0.5280561122244489,1.1707436022473645,1.1609302752396289,0.7,2.0,2.0
0,0.06065232239053279,0.18359811294676948,0.5295295295295295,1.1775614366729668,1.1210425531914883,0.538,1.186599409847229,1.1924027532614763,0.7,2.0,2.0
0,-0.03662108436781754,0.11686099083849377,0.4819639278557114,1.1331808731808724,1.2091102514506757,0.49096385542168675,1.1751480115777273,1.1517318271406505,0.7,2.0,2.0
0,0.011251995559664333,0.2550284892473153,0.5055165496489469,1.1570238095238088,1.1045030425963485,0.512,1.1335530735765174,1.0961701428650135,0.7,2.0,2.0
0,0.026018385537618812,0.2480073931537314,0.5125125125125125,1.1578515624999988,1.1066529774127305,0.509,1.1266183424669167,1.1413357199702083,0.7,2.0,2.0
0,-0.0020999261102875,0.1465283528028007,0.49899799599198397,1.1454819277108428,1.1818199999999988,0.4994994994994995,1.194153487331231,1.1913141798851572,0.7,2.0,2.0
0,-0.008985065233333542,0.25383460142526104,0.4954954954954955,1.105616161616161,1.1569047619047612,0.516,1.1037916486218045,1.1359209726182333,0.75,2.0,2.0
0,-0.08307489853721638,0.2713153773611297,0.46046046046046046,1.1376739130434772,1.113265306122448,0.454,1.17885485905753,1.119305792115153,0.75,2.0,2.0
0,0.057894796052004566,0.2826501997750998,0.528,1.1588257575757568,1.0804872881355922,0.526,1.110670117029772,1.1627780466254696,0.75,2.0,2.0
0,-0.005967905344830765,0.17047058531041603,0.4969939879759519,1.129919354838709,1.182529880478087,0.5060120240480962,1.1560072070506957,1.2392230690538306,0.75,2.0,2.0
0,-0.016948341922521048,0.22267101382187846,0.49198396793587174,1.1562525458248467,1.1254437869822473,0.4944944944944945,1.208734615977485,1.1129994417219469,0.75,2.0,2.0
0,-0.013275696917729365,0.26308660060332884,0.4934934934934935,1.1270385395537517,1.130256916996047,0.52,1.1558163842390177,1.1114115703337442,0.75,2.0,2.0
0,-0.023364664400608824,0.23578895447030332,0.48897795591182364,1.150471311475409,1.1234313725490188,0.5065065065065065,1.1573532136097275,1.132403558861717,0.75,2.0,2.0
0,0.06468397755435283,0.1309364250175117,0.5315315315315315,1.182429378531072,1.1505341880341877,0.5355355355355356,1.1084002426775725,1.1981577073777714,0.75,2.0,2.0
0,-0.005266526363474306,0.2808612794797609,0.4974974974974975,1.155452716297786,1.0921513944223102,0.4879759519038076,1.1293129142435043,1.0914656290219469,0.75,2.0,2.0
0,-0.01965534372650856,0.2294575783253429,0.4904904904904905,1.1188775510204076,1.1574263261296651,0.491,1.0706762503832832,1.091968446880844,0.75,2.0,2.0
0,0.046080174414479244,0.27591861946362906,0.5220440881763527,1.10278310940499,1.148092243186582,0.537,1.1038183861755693,1.133513648474475,0.8,2.0,2.0
0,0.0063287608248454325,0.2621329394111909,0.503,1.1367196819085479,1.12122736418511,0.509,1.133475593193473,1.141193373453775,0.8,2.0,2.0
0,-0.02579794962377141,0.3182773463835397,0.48746238716148443,1.096604938271604,1.1279843444227,0.477,1.1318502249668956,1.1486168885097159,0.8,2.0,2.0
0,0.044772760216833005,0.28046745446307114,0.5215215215215215,1.1313627639155464,1.1141004184100411,0.5265265265265265,1.1645426475435259,1.1084638568272434,0.8,2.0,2.0
0,0.03868034243116224,0.3575967244360548,0.518,1.076447876447876,1.1286721991701234,0.5055055055055055,1.0919368364299034,1.1268894455316436,0.8,2.0,2.0
0,0.039299715197458895,0.2248359842548403,0.5190380761523046,1.1473552123552118,1.1310624999999992,0.497,1.1860286778242701,1.165111985986845,0.8,2.0,2.0
0,0.014253235670865763,0.3021757728397862,0.506519558676028,1.0881584158415833,1.1476219512195114,0.4894894894894895,1.167018155730001,1.086974529694597,0.8,2.0,2.0
0,0.017703322942287894,0.3239491327779216,0.5085599194360524,1.1226534653465339,1.099282786885245,0.511,1.1150472006475889,1.1548600629145584,0.8,2.0,2.0
0,-0.028101940462142944,0.41637484816476256,0.48697394789579157,1.1147736625514397,1.0580273437499996,0.508,1.0777978669452313,1.0678973686174054,0.8,2.0,2.0
0,0.008197490365968224,0.2337218098832136,0.504,1.150416666666666,1.1240322580645155,0.487,1.1055114807706001,1.1334540490883063,0.8,2.0,2.0
0,0.02464123423967672,0.38663999806304983,0.5115346038114343,1.1163137254901954,1.0702669404517449,0.527,1.0992401960204317,1.107300173192738,0.85,2.0,2.0
0,0.0010365394040980887,0.41277681372512565,0.5005005005005005,1.0861399999999997,1.0876352705410817,0.4849699398797595,1.0667365089657839,1.1157760562772214,0.85,2.0,2.0
0,-0.008733073745174392,0.4218533577692693,0.49599198396793587,1.0933131313131312,1.075646123260437,0.5,1.077928023785734,1.114348181372919,0.85,2.0,2.0
0,0.026063127232396843,0.4379485709853873,0.512,1.0748828124999994,1.0853688524590162,0.464,1.06850297850574,1.0598827805118187,0.85,2.0,2.0
0,-0.05226962073282022,0.4076436315826935,0.4754754754754755,1.0800842105263153,1.0942557251908394,0.4594594594594595,1.0923357054831182,1.1265132881815576,0.85,2.0,2.0
0,-0.06911366129282441,0.359655801378464,0.4674674674674675,1.091584582441113,1.10766917293233,0.4589178356713427,1.082200629732176,1.0885162019537327,0.85,2.0,2.0
0,0.030127971178001676,0.4577563080199579,0.5135135135135135,1.0510136452241712,1.099876543209876,0.528,1.11261320901734,1.104562499580322,0.85,2.0,2.0
0,0.04936468203075796,0.33850449954208484,0.5235235235235235,1.1510898661567868,1.0575630252100836,0.521,1.1299011994770336,1.1021754864373345,0.85,2.0,2.0
0,0.021336488385161063,0.43785344359723566,0.51,1.111117647058823,1.0477346938775507,0.5175175175175175,1.0952647532773108,1.089415322532448,0.85,2.0,2.0
0,-0.025631577759134386,0.32639245499517405,0.488,1.1336475409836058,1.0884765624999995,0.4919678714859438,1.111983452432054,1.1023366234407102,0.85,2.0,2.0
0,0.006247834452604849,0.3869997238328227,0.503,1.097514910536779,1.0902012072434606,0.516,1.0666136310392726,1.0747463330634432,0.9,2.0,2.0
0,0.039007555798046614,0.3753898008698395,0.5185185185185185,1.088204633204633,1.105592515592515,0.483,1.1106344349715036,1.0435283792821959,0.9,2.0,2.0
0,0.016418618058227825,0.4235675661660145,0.508,1.1190157480314955,1.047540650406504,0.525,1.0853509398259549,1.0486711376070472,0.9,2.0,2.0
0,-0.012829916865823632,0.4083353780862001,0.494,1.0909919028340078,1.0851778656126478,0.474,1.096783709209732,1.093387874056233,0.9,2.0,2.0
0,0.03206499949412958,0.47392843805409235,0.5145436308926781,1.0604093567251458,1.0811363636363633,0.5065065065065065,1.1129762419648592,1.1190524472243348,0.9,2.0,2.0
0,-0.03053527996464099,0.3776506092336252,0.4854854854854855,1.0742061855670098,1.1168482490272365,0.488,1.1054082854651355,1.0895163486844766,0.9,2.0,2.0
0,0.08080206834625102,0.37096845913776205,0.5376128385155466,1.0565298507462684,1.1436659436008667,0.554,1.1265985063922337,1.0982383726456988,0.9,2.0,2.0
0,-0.029341338001742826,0.564590156169561,0.4864864864864865,1.0585185185185182,1.0366666666666666,0.47847847847847846,1.0593528930130718,1.0768145520256196,0.9,2.0,2.0
0,0.009836744095575492,0.4660167475974266,0.504,1.0393253968253966,1.106713709677419,0.5105105105105106,1.0666129798176112,1.1334790394320042,0.9,2.0,2.0
0,0.038657558882121516,0.28079586661836387,0.5185185185185185,1.1562548262548251,1.087442827442827,0.5285285285285285,1.1461971949706566,1.1259811670705815,0.9,2.0,2.0
0,-0.012859267977409264,0.3723534244320232,0.4934934934934935,1.0568154158215008,1.1376877470355724,0.455,1.0580044433780502,1.115003642246086,0.95,2.0,2.0
0,-0.0017121386043656857,0.5011087374688014,0.4994994994994995,1.0660521042084163,1.0612399999999997,0.5270541082164328,1.068784600272095,1.0164886964908182,0.95,2.0,2.0
0,0.011157276443315137,0.561078038440871,0.505,1.0512871287128707,1.045393939393939,0.4934934934934935,1.0297549749198678,1.0195552238657548,0.95,2.0,2.0
0,-5.005575778729645e-05,0.4996217064683087,0.49949849548645936,1.030602409638554,1.0973146292585167,0.489,1.0365441620272546,1.1080255299553594,0.95,2.0,2.0
0,-0.01312504324846419,0.4934866706755091,0.4944944944944945,1.0803643724696352,1.0511683168316825,0.476,1.0730567578107628,1.061138502270708,0.95,2.0,2.0
0,-0.011707276914050041,0.4888719203996167,0.495,1.0922424242424238,1.0418415841584157,0.49,1.0737174877344282,1.0844177302191087,0.95,2.0,2.0
0,0.021762122141696313,0.5623573971026256,0.5105105105105106,1.0830588235294116,1.0112065439672797,0.506,1.001794166317677,1.1317292893820354,0.95,2.0,2.0
0,-0.06843532411665772,0.5177877114229406,0.469,1.0555863539445627,1.060922787193973,0.4964964964964965,1.0638686053375743,1.0770344985735951,0.95,2.0,2.0
0,0.0016650510794868401,0.5171015941929007,0.5005005005005005,1.0326799999999998,1.0864128256513021,0.492,1.1200633818786117,1.0429569828946625,0.95,2.0,2.0
0,0.015914044373504743,0.47834253127086085,0.5075075075075075,1.082485207100591,1.055955284552845,0.4954954954954955,1.067769116938486,1.0588423719707893,0.95,2.0,2.0
0,-0.04083799994468237,0.6379705499071076,0.48144433299899697,1.0220416666666663,1.0357059961315276,0.4934934934934935,0.9930908838255142,1.0224224985092996,1.0,2.0,2.0
0,-0.014761631872919918,0.5029868834488649,0.49298597194388777,1.0434349593495933,1.0821739130434782,0.479,1.0466229457599854,1.0325439194884338,1.0,2.0,2.0
0,-0.013480724072821719,0.6820878002598555,0.494,1.0283805668016193,1.0097628458498022,0.5005005005005005,1.0327391828978933,1.026846496827284,1.0,2.0,2.0
