,DDM2a2ter,DDM2v2a2ter,OUM2k2ter,OUM2v2k2ter
0,-168.07658285427573,-164.35113713003116,-168.30485548660087,-164.10932507076313
1,-47.152744991038354,-46.23358577758347,-53.03733489928353,-55.68883573568247
2,-209.50221331392424,-207.87116507047958,-210.84921558159488,-209.458069114656
3,-225.09328023224714,-223.26634284556158,-235.22568224486164,-234.8217961840896
4,-39.97964216975111,-45.393096786895285,-51.86217919986862,-67.92867940492572
5,22.154951044205834,17.38477106479994,1.1104312312589595,-12.340708783573568
6,219.11221961125514,215.4748312135565,200.22004622094332,187.48169580264118
7,-95.53754223749236,-93.1481002301477,-105.08706003476304,-99.0013402347846
8,-250.51868231366498,-247.31275249657105,-259.40458673805733,-266.6037989546804
9,-258.2128537138747,-260.4939479220768,-282.033150664831,-295.94138875639356
10,94.84245034573989,100.28423067761793,59.84006899021292,56.39150455568543
11,74.77854439093495,81.00968484707278,58.01378971503789,59.80280161944299
12,-1.2264598642269438,3.753647082743059,-13.546989802238544,-12.818147698539013
13,-25.52334312257693,-24.25029719030618,-54.93539526667536,-63.95098639487987
14,133.89698294207764,123.57426558460197,109.41424009300056,90.3755681490344
15,-133.77547503512105,-125.80971451634628,-151.43117944972417,-152.36676056095064
