,DDM,OUM
0,2089.4546079266142,2095.7032784721873
1,-1140.9762903896587,-1059.9254686486292
2,-260.79863583758504,-255.0020534847847
3,3311.5254904234284,3296.2118709163724
4,-371.3812249633253,-364.52205711804373
5,1120.2036511699305,1128.5884838370007
6,-1081.728849089089,-1069.373204502253
7,1902.7627476669993,1909.0033839581847
8,-1054.243962937291,-1045.562424120481
9,522.639158276131,527.7927516909782
10,759.3735721374495,764.4521241381964
11,-1517.6633714901513,-1511.1816141095533
12,282.71850727434503,288.14512693922046
13,1779.2687757076958,1788.9122384339748
14,3186.983295150788,3185.742044360081
15,-1153.761638887467,-1148.5157383888422
16,-991.6652278158018,-985.3674357164319
17,1311.0205242072573,1316.7321143890463
18,-1277.6115460686158,-1261.6888782859346
19,-254.1681718736335,-246.74604777167337
20,3180.521503409666,3187.913338361141
21,971.9373476346976,978.0648728352511
22,-1752.2958622889691,-1746.1888335861145
23,3433.3151781477422,3367.0907838557964
24,-167.22054007751245,-162.74222433558913
25,-966.6745679953066,-931.1031969671218
26,-214.51806031862537,-208.36356990512547
27,-1011.0173940247225,-1004.6701695257005
28,-742.7265360058298,-737.3573233063238
29,152.2906167555501,159.20062854712958
30,617.6101509434505,621.4593063203381
31,3666.044121096309,3668.2272742234586
32,-798.2706867481645,-792.4322515359221
33,-1417.4155331451568,-1406.816259183472
34,-1401.1986461969652,-1388.2364387627867
35,-1066.6844428471188,-1059.3843076944654
36,160.43416784251053,164.38624321644053
37,-794.7332942421036,-787.4912694438774
38,161.26860377546444,167.6453634799984
39,-673.6700602339895,-660.545853598425
40,-75.15220865322621,-66.03474359563268
41,-60.881595028319865,-53.57539787384377
42,1403.543753308156,1413.559914428114
43,2808.3362596851152,2805.1298462360187
44,513.5593556271432,520.4198619373167
45,317.63106807107977,329.29143543438556
46,2856.8735735600844,2862.819321749379
47,373.2224052419393,379.1886159619694
48,-982.2045132985343,-974.4001865438532
49,-546.2918842037657,-537.3219322664734
50,-549.9341520989536,-543.9847161640499
51,1252.773959110286,1259.0080620880099
52,860.5300095458522,865.6855804717728
53,-725.4712929037912,-719.4304451407918
54,1254.8760106649686,1262.3772008421383
55,-890.9944957151064,-884.3436336755015
56,-699.1132799460603,-692.2851779356178
57,-72.39382933175364,-65.33740491116195
58,3451.9440774058903,3450.5376612669024
59,1898.22317322823,1903.96127204093
60,1298.177475739926,1307.0430509573102
61,2817.2313751052684,2821.329301935975
62,-197.11474668896332,-186.58164761761716
63,325.84053729594393,330.153871319257
64,124.0145618758306,196.18256203558548
65,250.66075811918117,258.8056934653621
66,1512.2032866674665,1519.8448344977114
67,1284.2102747205874,1291.0172655492588
68,-734.5283109399863,-727.4266806684928
69,-681.3714650824245,-667.6407448503259
70,502.45983444142803,508.52384520996196
71,-303.12980849974974,-297.4170849677496
72,2286.9392907886727,2294.7457809745342
73,65.76901056838466,77.78276497863696
74,1281.7175810141268,1288.6389020174738
75,332.58151052791595,347.79617682350624
76,826.0214099024457,831.7585968019845
77,437.3698088677244,444.25848030887073
78,62.91283221300962,69.80811719877617
79,104.74322271994231,112.63230064558351
80,616.0245888446186,624.3986227509346
81,2235.7529655865087,2244.1825182777643
82,1057.037774718971,1064.655556188423
83,-742.3460127379574,-735.8459454871348
84,2686.9916659189844,2694.5086957349586
85,-330.27754171691197,-324.9491221556322
86,-968.6524804477688,-960.7410217430411
87,2791.5256101103046,2806.615290413762
88,-49.323426033445486,-43.79165937254123
89,1368.24507589378,1374.636441008602
90,-539.871317739029,-527.1571776166122
91,-741.5085396336757,-737.7770357394338
92,-192.99871046178774,-184.72932673130438
93,-1035.4760883822862,-1026.148985523118
94,-1471.300724254598,-1464.8091806440912
95,594.871036586522,601.3748121988617
96,-714.8381907964778,-708.2771710526348
97,1245.530133028545,1253.287624802233
98,-852.2208305906047,-844.1878354830752
99,533.9045149976059,540.791092977877
