,v,a,k,ter
0,2.7309131698210263,4.129436270391814,5.916225543294409,0.7852780819868652
1,2.277166238912896,2.853502687940827,6.927280472870913,0.21738767721046842
2,5.231735890464819,4.399382808152795,6.646670051796105,0.26197653116292047
3,3.5283987010684914,1.0526689507026137,7.5091976854556775,0.5228106324319782
4,1.8914136253367335,4.597172816388771,7.726346622451067,0.40235496505950047
5,5.181607775152815,4.497493251911772,-0.20309493061379585,0.7952603851687426
6,3.590394481923522,1.8905140687583688,7.55466153508481,0.6267677977623057
7,1.7348110470043456,5.577148942831535,2.8039481546471863,0.9330689823553648
8,6.0,6.417370642374728,6.40247274597179,0.29835021877159673
9,5.911837042627346,5.175396475960495,9.325733777054541,0.4265161905343125
10,3.0428037012192584,5.650019073662779,0.7001049863893178,0.45978161358561714
11,3.7641124029172897,7.759004907684109,8.527184360459126,0.8185482301999358
12,5.025339876034007,6.55240712955794,6.138359767721037,0.47507489175643225
13,5.134133712558335,5.737850439196338,1.4346814378357495,0.7174669664364344
14,5.081039412404847,5.401622059729256,0.5363214407792901,0.7624894063926729
15,4.5388572662800595,6.717833335520554,8.92969972483612,0.10256050401038325
16,3.6949682004108837,6.089456815999,8.694446640116803,0.22518184622158566
17,2.610030406082684,6.041838369652609,9.807310655891504,0.3038548443491097
18,1.1252998412681112,5.15105141149613,5.036928837579619,0.48505195243619226
19,3.1143723474370315,3.612860170445031,9.028737435856728,0.8479261063790093
20,3.312618158030821,5.355266509407283,4.353102596255301,0.23535360469542232
21,2.4239669349671784,6.751238951271794,7.625598053856898,0.5659813587136561
22,4.453646444746753,1.9727006079989842,1.0315251753440622,0.6273634226310514
23,4.3567384993336455,3.5919866465347017,1.5467036959246425,0.9943344451300922
24,2.5931058634599857,7.611444209253567,6.197949755222853,0.16636325981916755
25,2.377976112928793,4.431717935439467,2.8320185143102923,0.2748785067329878
26,1.1746871134375632,1.8439937672800584,2.783132533019252,0.5413420916190202
27,2.4372651619922205,6.579693566661692,9.9511222513306,0.13702214166918075
28,4.555674467490228,4.58280367293129,8.954078318757555,0.6409946184872072
29,6.0,4.518907856301914,1.4148798484952416,0.9247193360331498
30,5.968642249088101,6.751175288415724,2.491611325006382,0.7364347618939765
31,4.340124689862751,1.444220195063278,1.1938686444604125,0.6756004976910555
32,3.414114966974587,4.664370659847844,8.054733075957865,0.3063631374594564
33,5.248749966864375,7.143699277831425,3.1933109355836566,0.26949681607346376
34,4.163300698705713,5.781061420808101,1.464251635770593,0.6260284568211918
35,2.771100060335006,4.040643736912932,8.831244507457624,0.9653886004637324
36,5.63513195157534,3.7947353414293286,3.4500745515398523,0.3860231582209208
37,5.890101945416334,4.131028567348602,-0.10825367247018325,0.6872493070907628
38,4.549130044628014,1.9507670734457285,5.207851157737315,0.8497336088440497
39,0.0,7.634588244608836,6.913410665860371,0.37006574695703565
40,1.8177296527472848,7.130525625386659,3.4206960624582283,0.1849451107576543
41,4.449192519024444,1.7477273331327434,2.8510039060459844,0.6818233971962387
42,5.275443368069032,4.638824646678933,4.52407605921508,0.9500685015806067
43,4.184031341020873,5.751489965803131,0.8315914708801923,0.7104984390476023
44,1.9489860038985551,5.235784174475006,1.9908242816156974,0.7406273474135442
45,3.420194759672201,2.7738472872660513,4.276857244017422,0.8290347135784377
46,5.47810693644167,5.906507247506173,2.6081859130663507,0.1341874232288104
47,2.671162818201327,1.1163266534543363,4.622083648514376,0.6368920215096555
48,4.733300058088931,5.133720105733211,4.119941578382759,0.9639756906524592
49,0.7843001175864223,1.831178947429446,5.679035653707622,0.6977141610190594
50,5.625815362338559,3.816040029318794,1.6786020193884743,0.7134179011773161
51,6.0,0.7501056488574043,7.858256461089031,0.9710028384143674
52,5.929420025086251,5.61486155564081,4.8550105067812686,0.10743557037715429
53,0.33596310318719635,2.1878730544927176,7.857659049318921,0.778223653067281
54,6.0,4.2122323753474475,3.2058517642088296,0.1816060403408553
55,4.12616133699318,2.76993380621055,7.124634822771412,0.1645289778255401
56,0.3539186452307158,2.4884302894444454,8.061376791500381,0.6507824601747635
57,3.5907202624232015,7.337514423390268,6.1779465259087205,0.7464010134547205
58,3.6540313379268112,5.8058721162295654,8.140853914729693,0.2602696744636954
59,3.66993172590644,6.799022460241046,2.851797423541001,0.7106921707323323
60,3.462652635489736,0.6965961891365593,3.218902033096556,0.23335702196243702
61,5.067022395612135,2.671214157179267,7.243665955821888,0.2938195443446794
62,4.001734924195285,3.3226956120477498,7.317287569004804,0.1982946893898282
63,3.454939433256811,7.00561581086361,1.7095408499598357,0.6311938635301304
64,4.697223672104584,2.876068785123352,2.2134894934100693,0.25409205295869336
65,6.0,0.9895781135513042,4.669553820219535,0.4419789262762787
66,1.3637907075340394,2.127883226810237,4.059062308743024,0.8295300348662051
67,1.945520661711287,2.1730486746138022,3.8159066508910935,0.21156879713509713
68,2.087556636730892,1.7226310526182225,4.690578145074655,0.8289935612587407
69,2.4557858934437586,0.808842216109416,9.29990280394995,0.6898567216071974
70,2.558860199547768,1.9283374456942806,4.169887709016765,0.9408376298522589
71,2.981578922009069,2.9586641336823734,5.418259044907827,0.19145963722073156
72,1.0011036601639074,6.460173645983648,2.4608225422340015,0.7629812960288347
73,2.9468831058199556,7.048402731011603,2.877090229679479,0.5938501026444483
74,5.610959784606436,7.515345653498024,7.456613882344816,0.7960731301285419
75,1.5459917783356536,2.9290150524113807,7.657176445715557,0.39064211778596547
76,0.572789033819335,1.5571883541794755,4.683568161714956,0.8860691419567024
77,5.935051301378343,3.779498866938913,2.9159017837201233,0.419718457183052
78,5.289427781486883,1.429968902561349,5.315083740236645,0.6441182761553284
79,1.3643161094909029,1.201045227163891,2.977879670327815,0.8231431952796028
80,4.8554964328869765,2.3644255332940545,6.409124853200945,0.401147435330335
81,2.479157203499015,1.461083801699524,6.955627474831605,0.4346458418761651
82,0.8863948476418368,5.493445666398238,5.113376994009354,0.4041590448913101
